,bankroll_totals
1,3164.347568012022
2,6466.0627375067115
3,1069.0954516046124
4,5218.277286476987
5,4414.45014673205
6,4605.902981817067
7,7228.057744189258
8,14097.65206032143
9,16852.575420760182
10,129798.95556678493
11,12220.51047908523
12,14689.130162339188
13,20768.980391118894
14,10341.537252489616
15,9592.646784582463
16,36599.45734684443
17,6733.546005788944
18,6746.40362436014
19,10462.485581596078
20,22208.686628751348
21,6666.762800383962
22,15203.510955662847
23,30690.586928207966
24,21978.170755445695
25,5039.121363765338
26,12664.662534689925
27,17695.671315682805
28,77619.09191967128
29,6386.991260241218
30,1480.7150775175553
31,26306.170031044894
32,7768.18069906251
33,6354.933280984282
34,203633.63172845994
35,1851.0371547672853
36,82902.82741763473
37,48831.20742702844
38,9568.893108170578
39,11154.252226944514
40,4142.563719985709
41,28658.402555822864
42,11182.343781250194
43,4337.795725948415
44,53142.29793755385
45,4720.340033013224
46,54665.303933234085
47,3647.872126359909
48,11567.996232201973
49,1981.3282062563921
50,9458.707266325877
51,6179.6472012015765
52,18599.626935812918
53,28545.95156321991
54,22243.632369087765
55,3402.473773078771
56,23099.016906086283
57,16345.250710965773
58,29113.124548340922
59,16445.541479529933
60,6907.798698405807
61,2595.9440688167997
62,28998.30329022684
63,12852.913212180129
64,13899.838123115345
65,23817.476844982324
66,28101.82116632142
67,23674.30557896339
68,28696.153679113908
69,7313.909270316102
70,16552.61715233762
71,36105.57478172007
72,77099.89176932214
73,30411.48657775655
74,3718.921269234957
75,51871.8682004348
76,14341.085193956373
77,17882.281102150067
78,3394.9454424819232
79,21557.56418736491
80,24059.409426161947
81,24220.7753952329
82,12468.44389845183
83,7775.4801689433825
84,8982.411785270755
85,29541.167336769617
86,4048.85119985482
87,7461.543868511331
88,52109.746718871975
89,44110.08905033734
90,14921.184871993877
91,7477.221189069969
92,2486.0433913442616
93,12625.381978012072
94,15169.618797228635
95,1450.1177593380341
96,3034.635110173796
97,28262.65863829561
98,14657.364338628115
99,4118.947279816541
100,12733.245779418063
