,id,game_date,season,home_team,away_team,home_is_winner,lowvig_home,lowvig_away,bovada_home,bovada_away,betonlineag_home,betonlineag_away,unibet_home,unibet_away,sport888_home,sport888_away,draftkings_home,draftkings_away,pinnacle_home,pinnacle_away,mybookieag_home,mybookieag_away,lowvig_home_prob,bovada_home_prob,betonlineag_home_prob,unibet_home_prob,sport888_home_prob,draftkings_home_prob,pinnacle_home_prob,mybookieag_home_prob,lowvig_away_prob,bovada_away_prob,betonlineag_away_prob,unibet_away_prob,sport888_away_prob,draftkings_away_prob,pinnacle_away_prob,mybookieag_away_prob,lowvig_home_prob_norm,bovada_home_prob_norm,betonlineag_home_prob_norm,unibet_home_prob_norm,sport888_home_prob_norm,draftkings_home_prob_norm,pinnacle_home_prob_norm,mybookieag_home_prob_norm,lowvig_away_prob_norm,bovada_away_prob_norm,betonlineag_away_prob_norm,unibet_away_prob_norm,sport888_away_prob_norm,draftkings_away_prob_norm,pinnacle_away_prob_norm,mybookieag_away_prob_norm
22,349,2020-07-23,2020,Washington Nationals,New York Yankees,0,120.0,-130.0,120.0,-141.0,120.0,-132.0,118.0,-141.0,120.0,-139.0,123.0,-137.0,120.0,-130.0,110.0,-141.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45871559633027525,0.45454545454545453,0.4484304932735426,0.45454545454545453,0.47619047619047616,0.5652173913043478,0.5850622406639004,0.5689655172413793,0.5850622406639004,0.5815899581589958,0.5780590717299579,0.5652173913043478,0.5850622406639004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,350,2020-07-23,2020,Los Angeles Dodgers,San Francisco Giants,1,-278.0,249.0,-312.0,255.0,-286.0,249.0,-333.0,265.0,-333.0,265.0,-303.0,265.0,-294.0,263.0,-323.0,260.0,0.7354497354497355,0.7572815533980582,0.7409326424870466,0.76905311778291,0.76905311778291,0.7518610421836228,0.7461928934010152,0.7635933806146572,0.28653295128939826,0.28169014084507044,0.28653295128939826,0.273972602739726,0.273972602739726,0.273972602739726,0.27548209366391185,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,351,2020-07-24,2020,New York Mets,Atlanta Braves,1,-141.0,130.0,-143.0,122.0,-141.0,129.0,-147.0,120.0,-147.0,120.0,-137.0,120.0,-143.0,130.0,-145.0,125.0,0.5850622406639004,0.588477366255144,0.5850622406639004,0.5951417004048583,0.5951417004048583,0.5780590717299579,0.588477366255144,0.5918367346938775,0.43478260869565216,0.45045045045045046,0.4366812227074236,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.43478260869565216,0.4444444444444444,0.3405809128630705,0.311482943744647,0.3405809128630705,0.31662772655121346,0.32292776475601936,0.2632800840196785,0.3191051571666228,0.2913719943422913,0.6449592986850344,0.6669588507426347,0.6401120620586097,0.7162924636527521,0.722762876809874,0.7294148795340218,0.6827158466098843,0.6722068328716526
59,352,2020-07-24,2020,Cincinnati Reds,Detroit Tigers,1,-169.0,155.0,-175.0,150.0,-169.0,154.0,-189.0,155.0,-185.0,155.0,-175.0,155.0,-169.0,155.0,-179.0,150.0,0.6282527881040892,0.6363636363636364,0.6282527881040892,0.6539792387543253,0.6491228070175439,0.6363636363636364,0.6282527881040892,0.6415770609318996,0.39215686274509803,0.4,0.3937007874015748,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.4,0.5299628252788103,0.5132810336871251,0.5299628252788103,0.5478255567580751,0.5330871037242229,0.4881778483525208,0.4908249624298031,0.5044181837538589,0.4552653873070831,0.4627027027027029,0.45273198687345123,0.4688107537632617,0.47304561511288584,0.47739932615884595,0.49644514518645483,0.4886426592797784
69,353,2020-07-24,2020,Tampa Bay Rays,Toronto Blue Jays,0,-143.0,131.0,-149.0,130.0,-143.0,131.0,-164.0,135.0,-161.0,135.0,-152.0,135.0,-143.0,131.0,-161.0,135.0,0.588477366255144,0.5983935742971888,0.588477366255144,0.6212121212121212,0.6168582375478927,0.6031746031746031,0.588477366255144,0.6168582375478927,0.4329004329004329,0.43478260869565216,0.4329004329004329,0.425531914893617,0.425531914893617,0.425531914893617,0.4329004329004329,0.425531914893617,0.35555555555555535,0.3532709518276151,0.35555555555555535,0.4190695501268188,0.40747462526046907,0.3601580370139321,0.3191051571666228,0.3985433026061226,0.6365832038969171,0.6035252643948297,0.6236291047955688,0.6012021851935059,0.606632964835287,0.6122161571437426,0.6744909065470316,0.5940944185772381
79,354,2020-07-24,2020,Philadelphia Phillies,Miami Marlins,0,-179.0,166.0,-196.0,168.0,-182.0,166.0,-200.0,170.0,-200.0,170.0,-196.0,170.0,-185.0,169.0,-208.0,170.0,0.6415770609318996,0.6621621621621622,0.6453900709219859,0.6666666666666666,0.6666666666666666,0.6621621621621622,0.6491228070175439,0.6753246753246753,0.37593984962406013,0.373134328358209,0.37593984962406013,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37174721189591076,0.37037037037037035,0.5883870967741932,0.6219989024557553,0.6051063829787234,0.5976798825256973,0.6013888888888886,0.587690310397734,0.5809257185516985,0.648964896489649,0.3830961247828399,0.3539330375151273,0.3753003407668623,0.38238856935740784,0.385842761821874,0.3893938948214829,0.40725679446772717,0.36626654355186195
89,355,2020-07-24,2020,Cleveland Indians,Kansas City Royals,1,-208.0,192.0,-222.0,190.0,-213.0,192.0,-270.0,205.0,-244.0,205.0,-244.0,205.0,-217.0,198.0,-233.0,190.0,0.6753246753246753,0.6894409937888198,0.6805111821086262,0.7297297297297297,0.7093023255813954,0.7093023255813954,0.6845425867507886,0.6996996996996997,0.3424657534246575,0.3448275862068966,0.3424657534246575,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.33557046979865773,0.3448275862068966,0.7363636363636362,0.7369549452974744,0.7591054313099038,0.8454816049529704,0.7673781109751122,0.7695237128059308,0.7338411973957981,0.7533672286147534,0.2341290604815535,0.23932898415657056,0.22936466985136222,0.21379447190992257,0.21572572015580183,0.21771116811416816,0.249167663699513,0.26076989206227913
99,356,2020-07-24,2020,Chicago Cubs,Milwaukee Brewers,1,-122.0,112.0,-125.0,105.0,-122.0,112.0,-133.0,110.0,-132.0,110.0,-123.0,110.0,-122.0,113.0,-130.0,110.0,0.5495495495495496,0.5555555555555556,0.5495495495495496,0.5708154506437768,0.5689655172413793,0.5515695067264574,0.5495495495495496,0.5652173913043478,0.4716981132075472,0.4878048780487805,0.4716981132075472,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.4694835680751174,0.47619047619047616,0.1848648648648649,0.17274675690919358,0.1848648648648649,0.2210394963226257,0.22101860254083489,0.1611020815791022,0.15104466168295977,0.17735686612139448,0.809241384199147,0.8181938035596573,0.7927737912377633,0.8021534650429833,0.8093994778067883,0.8168488470315318,0.8343559387545917,0.8033240997229915
109,357,2020-07-24,2020,Boston Red Sox,Baltimore Orioles,1,-213.0,196.0,-222.0,190.0,-217.0,196.0,-244.0,190.0,-222.0,190.0,-222.0,190.0,-217.0,196.0,-233.0,185.0,0.6805111821086262,0.6894409937888198,0.6845425867507886,0.7093023255813954,0.6894409937888198,0.6894409937888198,0.6845425867507886,0.6996996996996997,0.33783783783783783,0.3448275862068966,0.33783783783783783,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.33783783783783783,0.3508771929824561,0.7591054313099038,0.7369549452974744,0.7767823343848578,0.7652136051634054,0.6900539391958154,0.6929127451246303,0.7338411973957981,0.7533672286147534,0.213533821861937,0.23932898415657056,0.20918853239630872,0.2810660083298553,0.28360493382551555,0.2862151132535402,0.2590758594536251,0.2857559410992855
119,358,2020-07-24,2020,Texas Rangers,Colorado Rockies,1,-118.0,107.0,-120.0,100.0,-118.0,106.0,-139.0,112.0,-128.0,112.0,-128.0,112.0,-118.0,109.0,-125.0,105.0,0.5412844036697247,0.5454545454545454,0.5412844036697247,0.5815899581589958,0.5614035087719298,0.5614035087719298,0.5412844036697247,0.5555555555555556,0.4830917874396135,0.5,0.4854368932038835,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4784688995215311,0.4878048780487805,0.14862385321100888,0.13017997231195186,0.14862385321100888,0.2633771404346304,0.1915781779008924,0.1990347046655941,0.11536209252391168,0.135973597359736,0.8599457315800458,0.8675675675675678,0.8526701978317544,0.7843332572072751,0.7914182964678063,0.7987021745320487,0.8736210343845188,0.8512938314978716
129,359,2020-07-24,2020,Chicago White Sox,Minnesota Twins,0,-103.0,-106.0,-106.0,-114.0,-103.0,-108.0,-106.0,-111.0,-105.0,-110.0,-104.0,-109.0,-106.0,-103.0,-110.0,-110.0,0.5073891625615764,0.5145631067961165,0.5073891625615764,0.5145631067961165,0.5121951219512195,0.5098039215686274,0.5145631067961165,0.5238095238095238,0.5145631067961165,0.5327102803738317,0.5192307692307693,0.5260663507109005,0.5238095238095238,0.5215311004784688,0.5073891625615764,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,360,2020-07-24,2020,St. Louis Cardinals,Pittsburgh Pirates,1,-179.0,165.0,-189.0,165.0,-182.0,165.0,-213.0,165.0,-192.0,165.0,-192.0,165.0,-185.0,168.0,-196.0,165.0,0.6415770609318996,0.6539792387543253,0.6453900709219859,0.6805111821086262,0.6575342465753424,0.6575342465753424,0.6491228070175439,0.6621621621621622,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.373134328358209,0.37735849056603776,0.5883870967741932,0.5875151493861207,0.6051063829787234,0.6520808996354729,0.5658345349675556,0.5698390859603994,0.5809257185516985,0.5925876371420926,0.38940938788530394,0.37103518612952596,0.38148513262569067,0.41010889265739886,0.41381348834917986,0.4176220520429014,0.4133183694765961,0.3951288349971254
149,361,2020-07-24,2020,San Diego Padres,Arizona Diamondbacks,1,-128.0,118.0,-132.0,112.0,-132.0,120.0,-141.0,118.0,-139.0,120.0,-133.0,120.0,-135.0,124.0,-135.0,115.0,0.5614035087719298,0.5689655172413793,0.5689655172413793,0.5850622406639004,0.5815899581589958,0.5708154506437768,0.574468085106383,0.574468085106383,0.45871559633027525,0.4716981132075472,0.45454545454545453,0.45871559633027525,0.45454545454545453,0.45454545454545453,0.44642857142857145,0.46511627906976744,0.23684210526315758,0.22925783301242794,0.26999999999999996,0.27702122214707453,0.27016809806944136,0.23533931817755874,0.2586238116794932,0.21697914472298307,0.7514663388348568,0.7529831718510965,0.7179940351264772,0.7328344914435307,0.722762876809874,0.7294148795340218,0.7336076632487857,0.7575855182632222
159,362,2020-07-24,2020,Houston Astros,Seattle Mariners,1,-278.0,245.0,-303.0,250.0,-278.0,245.0,-333.0,265.0,-333.0,265.0,-333.0,265.0,-294.0,259.0,-312.0,255.0,0.7354497354497355,0.7518610421836228,0.7354497354497355,0.76905311778291,0.76905311778291,0.76905311778291,0.7461928934010152,0.7572815533980582,0.2898550724637681,0.2857142857142857,0.2898550724637681,0.273972602739726,0.273972602739726,0.273972602739726,0.2785515320334262,0.28169014084507044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,363,2020-07-24,2020,Los Angeles Dodgers,San Francisco Giants,1,-238.0,216.0,-256.0,215.0,-244.0,216.0,-294.0,230.0,-278.0,230.0,-278.0,230.0,-263.0,234.0,-256.0,210.0,0.7041420118343196,0.7191011235955056,0.7093023255813954,0.7461928934010152,0.7354497354497355,0.7354497354497355,0.7245179063360881,0.7191011235955056,0.31645569620253167,0.31746031746031744,0.31645569620253167,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.2994011976047904,0.3225806451612903,0.8627218934911244,0.8619460446016084,0.8853488372093025,0.9101724099376104,0.8691752529471827,0.8703819227836694,0.9064240079713967,0.8364667927466903,0.11837860545484814,0.12852852852852853,0.11596966947106145,0.1152654539211326,0.11630666983147409,0.11737710705145188,0.09111117574169864,0.1688857117326422
