,id,game_date,season,home_team,away_team,home_is_winner,lowvig_home,lowvig_away,bovada_home,bovada_away,betonlineag_home,betonlineag_away,unibet_home,unibet_away,sport888_home,sport888_away,draftkings_home,draftkings_away,pinnacle_home,pinnacle_away,mybookieag_home,mybookieag_away,lowvig_home_brier,bovada_home_brier,betonlineag_home_brier,unibet_home_brier,sport888_home_brier,draftkings_home_brier,pinnacle_home_brier,mybookieag_home_brier,lowvig_away_brier,bovada_away_brier,betonlineag_away_brier,unibet_away_brier,sport888_away_brier,draftkings_away_brier,pinnacle_away_brier,mybookieag_away_brier
22,349,2020-07-23,2020,Washington Nationals,New York Yankees,0,0.45454545454545453,0.5652173913043478,0.45454545454545453,0.5850622406639004,0.45454545454545453,0.5689655172413793,0.45871559633027525,0.5850622406639004,0.45454545454545453,0.5815899581589958,0.4484304932735426,0.5780590717299579,0.45454545454545453,0.5652173913043478,0.47619047619047616,0.5850622406639004,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
39,350,2020-07-23,2020,Los Angeles Dodgers,San Francisco Giants,1,0.7354497354497355,0.28653295128939826,0.7572815533980582,0.28169014084507044,0.7409326424870466,0.28653295128939826,0.76905311778291,0.273972602739726,0.76905311778291,0.273972602739726,0.7518610421836228,0.273972602739726,0.7461928934010152,0.27548209366391185,0.7635933806146572,0.2777777777777778,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
49,351,2020-07-24,2020,New York Mets,Atlanta Braves,1,0.5850622406639004,0.43478260869565216,0.588477366255144,0.45045045045045046,0.5850622406639004,0.4366812227074236,0.5951417004048583,0.45454545454545453,0.5951417004048583,0.45454545454545453,0.5780590717299579,0.45454545454545453,0.588477366255144,0.43478260869565216,0.5918367346938775,0.4444444444444444,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
59,352,2020-07-24,2020,Cincinnati Reds,Detroit Tigers,1,0.6282527881040892,0.39215686274509803,0.6363636363636364,0.4,0.6282527881040892,0.3937007874015748,0.6539792387543253,0.39215686274509803,0.6491228070175439,0.39215686274509803,0.6363636363636364,0.39215686274509803,0.6282527881040892,0.39215686274509803,0.6415770609318996,0.4,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
69,353,2020-07-24,2020,Tampa Bay Rays,Toronto Blue Jays,0,0.588477366255144,0.4329004329004329,0.5983935742971888,0.43478260869565216,0.588477366255144,0.4329004329004329,0.6212121212121212,0.425531914893617,0.6168582375478927,0.425531914893617,0.6031746031746031,0.425531914893617,0.588477366255144,0.4329004329004329,0.6168582375478927,0.425531914893617,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
79,354,2020-07-24,2020,Philadelphia Phillies,Miami Marlins,0,0.6415770609318996,0.37593984962406013,0.6621621621621622,0.373134328358209,0.6453900709219859,0.37593984962406013,0.6666666666666666,0.37037037037037035,0.6666666666666666,0.37037037037037035,0.6621621621621622,0.37037037037037035,0.6491228070175439,0.37174721189591076,0.6753246753246753,0.37037037037037035,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
89,355,2020-07-24,2020,Cleveland Indians,Kansas City Royals,1,0.6753246753246753,0.3424657534246575,0.6894409937888198,0.3448275862068966,0.6805111821086262,0.3424657534246575,0.7297297297297297,0.32786885245901637,0.7093023255813954,0.32786885245901637,0.7093023255813954,0.32786885245901637,0.6845425867507886,0.33557046979865773,0.6996996996996997,0.3448275862068966,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
99,356,2020-07-24,2020,Chicago Cubs,Milwaukee Brewers,1,0.5495495495495496,0.4716981132075472,0.5555555555555556,0.4878048780487805,0.5495495495495496,0.4716981132075472,0.5708154506437768,0.47619047619047616,0.5689655172413793,0.47619047619047616,0.5515695067264574,0.47619047619047616,0.5495495495495496,0.4694835680751174,0.5652173913043478,0.47619047619047616,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
109,357,2020-07-24,2020,Boston Red Sox,Baltimore Orioles,1,0.6805111821086262,0.33783783783783783,0.6894409937888198,0.3448275862068966,0.6845425867507886,0.33783783783783783,0.7093023255813954,0.3448275862068966,0.6894409937888198,0.3448275862068966,0.6894409937888198,0.3448275862068966,0.6845425867507886,0.33783783783783783,0.6996996996996997,0.3508771929824561,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
119,358,2020-07-24,2020,Texas Rangers,Colorado Rockies,1,0.5412844036697247,0.4830917874396135,0.5454545454545454,0.5,0.5412844036697247,0.4854368932038835,0.5815899581589958,0.4716981132075472,0.5614035087719298,0.4716981132075472,0.5614035087719298,0.4716981132075472,0.5412844036697247,0.4784688995215311,0.5555555555555556,0.4878048780487805,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
