,id,game_date,season,home_team,away_team,home_is_winner,lowvig_home,lowvig_away,bovada_home,bovada_away,betonlineag_home,betonlineag_away,unibet_home,unibet_away,sport888_home,sport888_away,draftkings_home,draftkings_away,pinnacle_home,pinnacle_away,mybookieag_home,mybookieag_away,lowvig_home_prob,bovada_home_prob,betonlineag_home_prob,unibet_home_prob,sport888_home_prob,draftkings_home_prob,pinnacle_home_prob,mybookieag_home_prob,lowvig_away_prob,bovada_away_prob,betonlineag_away_prob,unibet_away_prob,sport888_away_prob,draftkings_away_prob,pinnacle_away_prob,mybookieag_away_prob,lowvig_home_prob_score,bovada_home_prob_score,betonlineag_home_prob_score,unibet_home_prob_score,sport888_home_prob_score,draftkings_home_prob_score,pinnacle_home_prob_score,mybookieag_home_prob_score
22,349,2020-07-23,2020,Washington Nationals,New York Yankees,0,120.0,-130.0,120.0,-141.0,120.0,-132.0,118.0,-141.0,120.0,-139.0,123.0,-137.0,120.0,-130.0,110.0,-141.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45871559633027525,0.45454545454545453,0.4484304932735426,0.45454545454545453,0.47619047619047616,0.5652173913043478,0.5850622406639004,0.5689655172413793,0.5850622406639004,0.5815899581589958,0.5780590717299579,0.5652173913043478,0.5850622406639004,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
39,350,2020-07-23,2020,Los Angeles Dodgers,San Francisco Giants,1,-278.0,249.0,-312.0,255.0,-286.0,249.0,-333.0,265.0,-333.0,265.0,-303.0,265.0,-294.0,263.0,-323.0,260.0,0.7354497354497355,0.7572815533980582,0.7409326424870466,0.76905311778291,0.76905311778291,0.7518610421836228,0.7461928934010152,0.7635933806146572,0.28653295128939826,0.28169014084507044,0.28653295128939826,0.273972602739726,0.273972602739726,0.273972602739726,0.27548209366391185,0.2777777777777778,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
49,351,2020-07-24,2020,New York Mets,Atlanta Braves,1,-141.0,130.0,-143.0,122.0,-141.0,129.0,-147.0,120.0,-147.0,120.0,-137.0,120.0,-143.0,130.0,-145.0,125.0,0.5850622406639004,0.588477366255144,0.5850622406639004,0.5951417004048583,0.5951417004048583,0.5780590717299579,0.588477366255144,0.5918367346938775,0.43478260869565216,0.45045045045045046,0.4366812227074236,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.43478260869565216,0.4444444444444444,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
59,352,2020-07-24,2020,Cincinnati Reds,Detroit Tigers,1,-169.0,155.0,-175.0,150.0,-169.0,154.0,-189.0,155.0,-185.0,155.0,-175.0,155.0,-169.0,155.0,-179.0,150.0,0.6282527881040892,0.6363636363636364,0.6282527881040892,0.6539792387543253,0.6491228070175439,0.6363636363636364,0.6282527881040892,0.6415770609318996,0.39215686274509803,0.4,0.3937007874015748,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.4,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
69,353,2020-07-24,2020,Tampa Bay Rays,Toronto Blue Jays,0,-143.0,131.0,-149.0,130.0,-143.0,131.0,-164.0,135.0,-161.0,135.0,-152.0,135.0,-143.0,131.0,-161.0,135.0,0.588477366255144,0.5983935742971888,0.588477366255144,0.6212121212121212,0.6168582375478927,0.6031746031746031,0.588477366255144,0.6168582375478927,0.4329004329004329,0.43478260869565216,0.4329004329004329,0.425531914893617,0.425531914893617,0.425531914893617,0.4329004329004329,0.425531914893617,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
79,354,2020-07-24,2020,Philadelphia Phillies,Miami Marlins,0,-179.0,166.0,-196.0,168.0,-182.0,166.0,-200.0,170.0,-200.0,170.0,-196.0,170.0,-185.0,169.0,-208.0,170.0,0.6415770609318996,0.6621621621621622,0.6453900709219859,0.6666666666666666,0.6666666666666666,0.6621621621621622,0.6491228070175439,0.6753246753246753,0.37593984962406013,0.373134328358209,0.37593984962406013,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37174721189591076,0.37037037037037035,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
89,355,2020-07-24,2020,Cleveland Indians,Kansas City Royals,1,-208.0,192.0,-222.0,190.0,-213.0,192.0,-270.0,205.0,-244.0,205.0,-244.0,205.0,-217.0,198.0,-233.0,190.0,0.6753246753246753,0.6894409937888198,0.6805111821086262,0.7297297297297297,0.7093023255813954,0.7093023255813954,0.6845425867507886,0.6996996996996997,0.3424657534246575,0.3448275862068966,0.3424657534246575,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.33557046979865773,0.3448275862068966,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
99,356,2020-07-24,2020,Chicago Cubs,Milwaukee Brewers,1,-122.0,112.0,-125.0,105.0,-122.0,112.0,-133.0,110.0,-132.0,110.0,-123.0,110.0,-122.0,113.0,-130.0,110.0,0.5495495495495496,0.5555555555555556,0.5495495495495496,0.5708154506437768,0.5689655172413793,0.5515695067264574,0.5495495495495496,0.5652173913043478,0.4716981132075472,0.4878048780487805,0.4716981132075472,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.4694835680751174,0.47619047619047616,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
109,357,2020-07-24,2020,Boston Red Sox,Baltimore Orioles,1,-213.0,196.0,-222.0,190.0,-217.0,196.0,-244.0,190.0,-222.0,190.0,-222.0,190.0,-217.0,196.0,-233.0,185.0,0.6805111821086262,0.6894409937888198,0.6845425867507886,0.7093023255813954,0.6894409937888198,0.6894409937888198,0.6845425867507886,0.6996996996996997,0.33783783783783783,0.3448275862068966,0.33783783783783783,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.33783783783783783,0.3508771929824561,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
119,358,2020-07-24,2020,Texas Rangers,Colorado Rockies,1,-118.0,107.0,-120.0,100.0,-118.0,106.0,-139.0,112.0,-128.0,112.0,-128.0,112.0,-118.0,109.0,-125.0,105.0,0.5412844036697247,0.5454545454545454,0.5412844036697247,0.5815899581589958,0.5614035087719298,0.5614035087719298,0.5412844036697247,0.5555555555555556,0.4830917874396135,0.5,0.4854368932038835,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4784688995215311,0.4878048780487805,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
129,359,2020-07-24,2020,Chicago White Sox,Minnesota Twins,0,-103.0,-106.0,-106.0,-114.0,-103.0,-108.0,-106.0,-111.0,-105.0,-110.0,-104.0,-109.0,-106.0,-103.0,-110.0,-110.0,0.5073891625615764,0.5145631067961165,0.5073891625615764,0.5145631067961165,0.5121951219512195,0.5098039215686274,0.5145631067961165,0.5238095238095238,0.5145631067961165,0.5327102803738317,0.5192307692307693,0.5260663507109005,0.5238095238095238,0.5215311004784688,0.5073891625615764,0.5238095238095238,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
139,360,2020-07-24,2020,St. Louis Cardinals,Pittsburgh Pirates,1,-179.0,165.0,-189.0,165.0,-182.0,165.0,-213.0,165.0,-192.0,165.0,-192.0,165.0,-185.0,168.0,-196.0,165.0,0.6415770609318996,0.6539792387543253,0.6453900709219859,0.6805111821086262,0.6575342465753424,0.6575342465753424,0.6491228070175439,0.6621621621621622,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.37735849056603776,0.373134328358209,0.37735849056603776,0.23776510412480156,0.23784522085900953,0.23771316686127902,0.23791509355795193,0.2378346121857724,0.23778326550166018,0.23781992637407726,0.2375088290657718
