iter	Logloss
0	0.6896371867
1	0.6855097678
2	0.6814638076
3	0.6787980756
4	0.6759996258
5	0.6734690885
6	0.671333733
7	0.6689089764
8	0.6669614632
9	0.6643573146
10	0.6623797483
11	0.6611318449
12	0.6596411095
13	0.6587326691
14	0.6577195958
15	0.6566498204
16	0.655850599
17	0.6550322589
18	0.6541604374
19	0.6534217298
20	0.6526928511
21	0.6514773904
22	0.6507263624
23	0.6502516121
24	0.6498275102
25	0.6494339867
26	0.649039881
27	0.6480735446
28	0.6474425434
29	0.6470563467
30	0.646572957
31	0.6462033833
32	0.645712512
33	0.645101728
34	0.6448068229
35	0.6445810464
36	0.6442335998
37	0.6438848921
38	0.6432155458
39	0.6430604721
40	0.6425218098
41	0.6421778444
42	0.6420435058
43	0.6417859534
44	0.6415505091
45	0.6413752554
46	0.6410278433
47	0.6407067558
48	0.6405626364
49	0.6402745079
50	0.6400755913
51	0.6399000572
52	0.63952031
53	0.6394514146
54	0.6392582814
55	0.6389897266
56	0.6386783307
57	0.6385160035
58	0.6382833138
59	0.6379446492
60	0.6377866647
61	0.6376542129
62	0.6374481384
63	0.637114273
64	0.6368381608
65	0.6362265843
66	0.6360680565
67	0.6358015977
68	0.6357265852
69	0.6344480219
70	0.6341702667
71	0.6340418758
72	0.6336919784
73	0.633415943
74	0.6329952618
75	0.63272681
76	0.6325546149
77	0.6322696464
78	0.6316852035
79	0.6315218329
80	0.6312519415
81	0.6310114985
82	0.6307605174
83	0.6305640385
84	0.6304566289
85	0.6302561228
86	0.6301657373
87	0.6300169084
88	0.6299195665
89	0.6297508698
90	0.6296638354
91	0.6294710427
92	0.6293888977
93	0.6291425663
94	0.6289056928
95	0.6282675356
96	0.6281332759
97	0.6279132874
98	0.6276429024
99	0.6275711936
