iter	Passed	Remaining
0	62	6208
1	73	3588
2	84	2745
3	95	2300
4	107	2039
5	118	1850
6	129	1720
7	141	1627
8	158	1600
9	167	1508
10	174	1410
11	179	1319
12	184	1235
13	189	1163
14	193	1095
15	197	1034
16	200	979
17	204	929
18	207	883
19	210	840
20	213	801
21	216	766
22	218	732
23	221	700
24	223	671
25	226	644
26	229	619
27	232	597
28	235	575
29	238	555
30	241	537
31	244	519
32	247	502
33	250	487
34	254	471
35	257	457
36	260	443
37	264	431
38	267	418
39	271	406
40	274	395
41	278	384
42	282	374
43	285	363
44	289	353
45	292	343
46	296	334
47	299	324
48	303	315
49	307	307
50	311	298
51	314	290
52	318	282
53	321	274
54	325	266
55	329	258
56	332	251
57	336	243
58	340	236
59	343	229
60	347	222
61	351	215
62	355	208
63	359	202
64	363	195
65	367	189
66	371	182
67	375	176
68	379	170
69	383	164
70	387	158
71	391	152
72	395	146
73	399	140
74	403	134
75	407	128
76	411	122
77	415	117
78	419	111
79	423	105
80	427	100
81	431	94
82	434	89
83	438	83
84	442	78
85	446	72
86	450	67
87	454	61
88	458	56
89	463	51
90	467	46
91	471	40
92	475	35
93	480	30
94	484	25
95	489	20
96	493	15
97	497	10
98	501	5
99	505	0
