,Date,Team,2007,Last 3,Last 1,Home,Away,2006,Current,Previous
0,2007-04-01,NY Mets,,--,--,--,--,,--,--
1,2007-04-01,Boston,,--,--,--,--,,--,--
2,2007-04-01,Oakland,,--,--,--,--,,--,--
3,2007-04-01,Cleveland,,--,--,--,--,,--,--
4,2007-04-01,Colorado,,--,--,--,--,,--,--
5,2007-04-01,Cincinnati,,--,--,--,--,,--,1.000
6,2007-04-01,Miami,,--,--,--,--,,--,--
7,2007-04-01,Toronto,,--,--,--,--,,--,0.000
8,2007-04-01,LA Angels,,--,--,--,--,,--,--
9,2007-04-01,Chi Sox,,--,--,--,--,,--,--
10,2007-04-01,SF Giants,,--,--,--,--,,--,--
11,2007-04-01,Milwaukee,,--,--,--,--,,--,--
12,2007-04-01,Chi Cubs,,--,--,--,--,,--,1.000
13,2007-04-01,Philadelphia,,--,--,--,--,,--,0.000
14,2007-04-01,Baltimore,,--,--,--,--,,--,--
15,2007-04-01,Detroit,,--,--,--,--,,--,--
16,2007-04-01,Arizona,,--,--,--,--,,--,--
17,2007-04-01,Pittsburgh,,--,--,--,--,,--,--
18,2007-04-01,Washington,,--,--,--,--,,--,--
19,2007-04-01,NY Yankees,,--,--,--,--,,--,--
20,2007-04-01,Texas,,--,--,--,--,,--,--
21,2007-04-01,Kansas City,,--,--,--,--,,--,--
22,2007-04-01,LA Dodgers,,--,--,--,--,,--,--
23,2007-04-01,Houston,,--,--,--,--,,--,--
24,2007-04-01,Atlanta,,--,--,--,--,,--,1.000
25,2007-04-01,Tampa Bay,,--,--,--,--,,--,--
26,2007-04-01,Seattle,,--,--,--,--,,--,--
27,2007-04-01,Minnesota,,--,--,--,--,,--,1.000
28,2007-04-01,San Diego,,--,--,--,--,,--,0.000
29,2007-04-01,St. Louis,,--,--,--,--,,--,0.000
30,2007-04-02,NY Mets,,1.000,1.000,--,1.000,,1.000,--
31,2007-04-02,St. Louis,,0.000,0.000,0.000,--,,0.000,0.000
32,2007-04-02,Boston,,--,--,--,--,,--,--
33,2007-04-02,Oakland,,--,--,--,--,,--,--
34,2007-04-02,Cleveland,,--,--,--,--,,--,--
35,2007-04-02,Colorado,,--,--,--,--,,--,--
36,2007-04-02,Cincinnati,,--,--,--,--,,--,1.000
37,2007-04-02,Miami,,--,--,--,--,,--,--
38,2007-04-02,Toronto,,--,--,--,--,,--,0.000
39,2007-04-02,LA Angels,,--,--,--,--,,--,--
40,2007-04-02,Chi Sox,,--,--,--,--,,--,--
41,2007-04-02,SF Giants,,--,--,--,--,,--,--
42,2007-04-02,Milwaukee,,--,--,--,--,,--,--
43,2007-04-02,Chi Cubs,,--,--,--,--,,--,1.000
44,2007-04-02,Philadelphia,,--,--,--,--,,--,0.000
45,2007-04-02,Baltimore,,--,--,--,--,,--,--
46,2007-04-02,Detroit,,--,--,--,--,,--,--
47,2007-04-02,Arizona,,--,--,--,--,,--,--
48,2007-04-02,Pittsburgh,,--,--,--,--,,--,--
49,2007-04-02,Washington,,--,--,--,--,,--,--
50,2007-04-02,NY Yankees,,--,--,--,--,,--,--
51,2007-04-02,Texas,,--,--,--,--,,--,--
52,2007-04-02,Kansas City,,--,--,--,--,,--,--
53,2007-04-02,LA Dodgers,,--,--,--,--,,--,--
54,2007-04-02,Houston,,--,--,--,--,,--,--
55,2007-04-02,Atlanta,,--,--,--,--,,--,1.000
56,2007-04-02,Tampa Bay,,--,--,--,--,,--,--
57,2007-04-02,Seattle,,--,--,--,--,,--,--
58,2007-04-02,Minnesota,,--,--,--,--,,--,1.000
59,2007-04-02,San Diego,,--,--,--,--,,--,0.000
60,2007-04-03,Arizona,,1.000,1.000,--,1.000,,1.000,--
61,2007-04-03,Pittsburgh,,1.000,1.000,--,1.000,,1.000,--
62,2007-04-03,NY Yankees,,1.000,1.000,1.000,--,,1.000,--
63,2007-04-03,Kansas City,,1.000,1.000,1.000,--,,1.000,--
64,2007-04-03,Atlanta,,1.000,1.000,--,1.000,,1.000,1.000
65,2007-04-03,Seattle,,1.000,1.000,1.000,--,,1.000,--
66,2007-04-03,Minnesota,,1.000,1.000,1.000,--,,1.000,1.000
67,2007-04-03,NY Mets,,1.000,1.000,--,1.000,,1.000,--
68,2007-04-03,Cleveland,,1.000,1.000,--,1.000,,1.000,--
69,2007-04-03,Cincinnati,,1.000,1.000,1.000,--,,1.000,1.000
70,2007-04-03,Miami,,1.000,1.000,--,1.000,,1.000,--
71,2007-04-03,Toronto,,1.000,1.000,--,1.000,,1.000,0.000
72,2007-04-03,LA Angels,,1.000,1.000,1.000,--,,1.000,--
73,2007-04-03,Milwaukee,,1.000,1.000,1.000,--,,1.000,--
74,2007-04-03,Washington,,0.000,0.000,0.000,--,,0.000,--
75,2007-04-03,Texas,,0.000,0.000,--,0.000,,0.000,--
76,2007-04-03,LA Dodgers,,0.000,0.000,--,0.000,,0.000,--
77,2007-04-03,Houston,,0.000,0.000,0.000,--,,0.000,--
78,2007-04-03,Tampa Bay,,0.000,0.000,--,0.000,,0.000,--
79,2007-04-03,St. Louis,,0.000,0.000,0.000,--,,0.000,0.000
80,2007-04-03,Boston,,0.000,0.000,--,0.000,,0.000,--
81,2007-04-03,Oakland,,0.000,0.000,--,0.000,,0.000,--
82,2007-04-03,Colorado,,0.000,0.000,0.000,--,,0.000,--
83,2007-04-03,Chi Sox,,0.000,0.000,0.000,--,,0.000,--
84,2007-04-03,Chi Cubs,,0.000,0.000,--,0.000,,0.000,1.000
85,2007-04-03,Philadelphia,,0.000,0.000,0.000,--,,0.000,0.000
86,2007-04-03,Baltimore,,0.000,0.000,--,0.000,,0.000,--
87,2007-04-03,Detroit,,0.000,0.000,0.000,--,,0.000,--
88,2007-04-03,San Diego,,--,--,--,--,,--,0.000
89,2007-04-03,SF Giants,,--,--,--,--,,--,--
90,2007-04-04,Pittsburgh,,1.000,1.000,--,1.000,,1.000,--
91,2007-04-04,NY Yankees,,1.000,1.000,1.000,--,,1.000,--
92,2007-04-04,Kansas City,,1.000,1.000,1.000,--,,1.000,--
93,2007-04-04,Atlanta,,1.000,1.000,--,1.000,,1.000,1.000
94,2007-04-04,Seattle,,1.000,1.000,1.000,--,,1.000,--
95,2007-04-04,Minnesota,,1.000,1.000,1.000,--,,1.000,1.000
96,2007-04-04,San Diego,,1.000,1.000,--,1.000,,1.000,0.000
97,2007-04-04,NY Mets,,1.000,1.000,--,1.000,,1.000,--
98,2007-04-04,Cleveland,,1.000,1.000,--,1.000,,1.000,--
99,2007-04-04,Cincinnati,,1.000,1.000,1.000,--,,1.000,1.000
100,2007-04-04,Miami,,1.000,1.000,--,1.000,,1.000,--
101,2007-04-04,Toronto,,1.000,1.000,--,1.000,,1.000,0.000
102,2007-04-04,LA Angels,,1.000,1.000,1.000,--,,1.000,--
103,2007-04-04,Milwaukee,,1.000,1.000,1.000,--,,1.000,--
104,2007-04-04,Arizona,,0.500,0.000,--,0.500,,0.500,--
105,2007-04-04,Colorado,,0.500,1.000,0.500,--,,0.500,--
106,2007-04-04,Washington,,0.000,0.000,0.000,--,,0.000,--
107,2007-04-04,Texas,,0.000,0.000,--,0.000,,0.000,--
108,2007-04-04,LA Dodgers,,0.000,0.000,--,0.000,,0.000,--
