,Date,Team,2021,Last 3,Last 1,Home,Away,2020
0,2021-03-31,LA Dodgers,5.77,4.67,3.00,5.66,5.85,5.44
1,2021-03-31,Atlanta,5.63,2.33,3.00,6.09,5.25,5.22
2,2021-03-31,NY Yankees,5.39,3.33,1.00,6.23,4.67,5.77
3,2021-03-31,San Diego,5.35,3.00,3.00,5.29,5.42,4.21
4,2021-03-31,Philadelphia,5.10,2.33,0.00,5.26,4.93,4.78
5,2021-03-31,Chi Sox,5.03,3.67,4.00,5.13,4.94,4.40
6,2021-03-31,SF Giants,4.98,3.67,4.00,5.45,4.41,4.19
7,2021-03-31,Toronto,4.92,2.67,2.00,6.12,4.06,4.48
8,2021-03-31,LA Angels,4.90,3.67,0.00,5.77,3.97,4.75
9,2021-03-31,Washington,4.88,8.00,15.00,4.37,5.40,5.31
10,2021-03-31,Boston,4.87,8.00,9.00,5.16,4.55,5.56
11,2021-03-31,NY Mets,4.77,3.67,5.00,4.45,5.06,4.88
12,2021-03-31,Houston,4.67,4.33,2.00,4.71,4.64,5.51
13,2021-03-31,Tampa Bay,4.60,3.67,1.00,4.68,4.55,4.71
14,2021-03-31,Oakland,4.60,5.67,6.00,4.09,5.16,5.19
15,2021-03-31,Colorado,4.58,6.00,3.00,5.10,4.07,5.15
16,2021-03-31,Baltimore,4.57,4.67,7.00,4.29,4.86,4.50
17,2021-03-31,Arizona,4.48,8.33,11.00,5.20,3.77,5.02
18,2021-03-31,Minnesota,4.37,1.67,1.00,4.30,4.45,5.73
19,2021-03-31,Detroit,4.29,2.33,1.00,4.11,4.45,3.61
20,2021-03-31,Chi Cubs,4.29,3.67,0.00,3.21,5.52,5.02
21,2021-03-31,Seattle,4.23,6.33,2.00,4.04,4.36,4.68
22,2021-03-31,Miami,4.23,1.67,0.00,3.83,4.56,3.80
23,2021-03-31,St. Louis,4.20,5.33,0.00,4.19,4.20,4.65
24,2021-03-31,Cleveland,4.19,6.67,9.00,4.13,4.27,4.75
25,2021-03-31,Kansas City,4.13,3.00,3.00,4.30,3.97,4.27
26,2021-03-31,Milwaukee,4.02,1.33,0.00,4.07,3.97,4.74
27,2021-03-31,Cincinnati,3.92,1.67,0.00,4.66,3.27,4.33
28,2021-03-31,Texas,3.73,6.33,8.00,4.10,3.37,5.00
29,2021-03-31,Pittsburgh,3.65,5.67,6.00,4.03,3.21,4.68
30,2021-04-01,LA Angels,--,--,--,--,--,4.90
31,2021-04-01,Chi Sox,--,--,--,--,--,5.03
32,2021-04-01,SF Giants,--,--,--,--,--,4.98
33,2021-04-01,Milwaukee,--,--,--,--,--,4.02
34,2021-04-01,Chi Cubs,--,--,--,--,--,4.29
35,2021-04-01,Philadelphia,--,--,--,--,--,5.10
36,2021-04-01,Baltimore,--,--,--,--,--,4.57
37,2021-04-01,Detroit,--,--,--,--,--,4.29
38,2021-04-01,Arizona,--,--,--,--,--,4.48
39,2021-04-01,Pittsburgh,--,--,--,--,--,3.65
40,2021-04-01,Washington,--,--,--,--,--,4.88
41,2021-04-01,NY Yankees,--,--,--,--,--,5.39
42,2021-04-01,Texas,--,--,--,--,--,3.73
43,2021-04-01,Kansas City,--,--,--,--,--,4.13
44,2021-04-01,LA Dodgers,--,--,--,--,--,5.77
45,2021-04-01,Houston,--,--,--,--,--,4.67
46,2021-04-01,Atlanta,--,--,--,--,--,5.63
47,2021-04-01,Tampa Bay,--,--,--,--,--,4.60
48,2021-04-01,Seattle,--,--,--,--,--,4.23
49,2021-04-01,Minnesota,--,--,--,--,--,4.37
50,2021-04-01,San Diego,--,--,--,--,--,5.35
51,2021-04-01,St. Louis,--,--,--,--,--,4.20
52,2021-04-01,NY Mets,--,--,--,--,--,4.77
53,2021-04-01,Boston,--,--,--,--,--,4.87
54,2021-04-01,Oakland,--,--,--,--,--,4.60
55,2021-04-01,Cleveland,--,--,--,--,--,4.19
56,2021-04-01,Colorado,--,--,--,--,--,4.58
57,2021-04-01,Cincinnati,--,--,--,--,--,3.92
58,2021-04-01,Miami,--,--,--,--,--,4.23
59,2021-04-01,Toronto,--,--,--,--,--,4.92
60,2021-04-02,Kansas City,14.00,14.00,14.00,14.00,--,4.13
61,2021-04-02,St. Louis,11.00,11.00,11.00,--,11.00,4.20
62,2021-04-02,Texas,10.00,10.00,10.00,--,10.00,3.73
63,2021-04-02,Colorado,8.00,8.00,8.00,8.00,--,4.58
64,2021-04-02,Houston,8.00,8.00,8.00,--,8.00,4.67
65,2021-04-02,Seattle,8.00,8.00,8.00,8.00,--,4.23
66,2021-04-02,San Diego,8.00,8.00,8.00,8.00,--,5.35
67,2021-04-02,SF Giants,7.00,7.00,7.00,--,7.00,4.98
68,2021-04-02,Arizona,7.00,7.00,7.00,--,7.00,4.48
69,2021-04-02,Cincinnati,6.00,6.00,6.00,6.00,--,3.92
70,2021-04-02,Milwaukee,6.00,6.00,6.00,6.00,--,4.02
71,2021-04-02,Pittsburgh,5.00,5.00,5.00,--,5.00,3.65
72,2021-04-02,LA Dodgers,5.00,5.00,5.00,--,5.00,5.77
73,2021-04-02,Minnesota,5.00,5.00,5.00,--,5.00,4.37
74,2021-04-02,LA Angels,4.00,4.00,4.00,4.00,--,4.90
75,2021-04-02,Toronto,3.00,3.00,3.00,--,3.00,4.92
76,2021-04-02,Chi Sox,3.00,3.00,3.00,--,3.00,5.03
77,2021-04-02,Chi Cubs,3.00,3.00,3.00,3.00,--,4.29
78,2021-04-02,Philadelphia,3.00,3.00,3.00,3.00,--,5.10
79,2021-04-02,Detroit,3.00,3.00,3.00,3.00,--,4.29
80,2021-04-02,Cleveland,2.00,2.00,2.00,--,2.00,4.19
81,2021-04-02,NY Yankees,2.00,2.00,2.00,2.00,--,5.39
82,2021-04-02,Atlanta,2.00,2.00,2.00,--,2.00,5.63
83,2021-04-02,Oakland,1.00,1.00,1.00,1.00,--,4.60
84,2021-04-02,Tampa Bay,1.00,1.00,1.00,--,1.00,4.60
85,2021-04-02,Miami,0.00,0.00,0.00,0.00,--,4.23
86,2021-04-02,NY Mets,--,--,--,--,--,4.77
87,2021-04-02,Boston,--,--,--,--,--,4.87
88,2021-04-02,Baltimore,--,--,--,--,--,4.57
89,2021-04-02,Washington,--,--,--,--,--,4.88
90,2021-04-03,Kansas City,14.00,14.00,14.00,14.00,--,4.13
91,2021-04-03,St. Louis,11.00,11.00,11.00,--,11.00,4.20
92,2021-04-03,Texas,10.00,10.00,10.00,--,10.00,3.73
93,2021-04-03,Houston,8.50,8.50,9.00,--,8.50,4.67
94,2021-04-03,LA Dodgers,8.00,8.00,11.00,--,8.00,5.77
95,2021-04-03,Chi Sox,7.50,7.50,12.00,--,7.50,5.03
96,2021-04-03,Colorado,7.00,7.00,6.00,7.00,--,4.58
97,2021-04-03,SF Giants,6.50,6.50,6.00,--,6.50,4.98
98,2021-04-03,San Diego,6.00,6.00,4.00,6.00,--,5.35
99,2021-04-03,Cincinnati,6.00,6.00,6.00,6.00,--,3.92
100,2021-04-03,LA Angels,6.00,6.00,8.00,6.00,--,4.90
101,2021-04-03,Milwaukee,6.00,6.00,6.00,6.00,--,4.02
102,2021-04-03,Seattle,5.50,5.50,3.00,5.50,--,4.23
103,2021-04-03,Pittsburgh,5.00,5.00,5.00,--,5.00,3.65
104,2021-04-03,Minnesota,5.00,5.00,5.00,--,5.00,4.37
105,2021-04-03,Arizona,4.50,4.50,2.00,--,4.50,4.48
106,2021-04-03,Tampa Bay,3.50,3.50,6.00,--,3.50,4.60
107,2021-04-03,Oakland,3.00,3.00,5.00,3.00,--,4.60
108,2021-04-03,Toronto,3.00,3.00,3.00,--,3.00,4.92
109,2021-04-03,Chi Cubs,3.00,3.00,3.00,3.00,--,4.29
110,2021-04-03,Philadelphia,3.00,3.00,3.00,3.00,--,5.10
111,2021-04-03,Baltimore,3.00,3.00,3.00,--,3.00,4.57
112,2021-04-03,Detroit,3.00,3.00,3.00,3.00,--,4.29
113,2021-04-03,NY Yankees,2.00,2.00,2.00,2.00,--,5.39
114,2021-04-03,Atlanta,2.00,2.00,2.00,--,2.00,5.63
115,2021-04-03,Cleveland,2.00,2.00,2.00,--,2.00,4.19
116,2021-04-03,Miami,2.00,2.00,4.00,2.00,--,4.23
117,2021-04-03,Boston,0.00,0.00,0.00,0.00,--,4.87
118,2021-04-03,Washington,--,--,--,--,--,4.88
119,2021-04-03,NY Mets,--,--,--,--,--,4.77
120,2021-04-04,Kansas City,12.50,12.50,11.00,12.50,--,4.13
121,2021-04-04,Houston,8.67,8.67,9.00,--,8.67,4.67
122,2021-04-04,St. Louis,8.50,8.50,6.00,--,8.50,4.20
123,2021-04-04,Cincinnati,7.50,7.50,9.00,7.50,--,3.92
124,2021-04-04,LA Dodgers,7.33,7.33,6.00,--,7.33,5.77
125,2021-04-04,Texas,7.00,7.00,4.00,--,7.00,3.73
126,2021-04-04,Colorado,6.33,6.33,5.00,6.33,--,4.58
127,2021-04-04,San Diego,6.33,6.33,7.00,6.33,--,5.35
128,2021-04-04,Chi Sox,6.00,6.00,3.00,--,6.00,5.03
129,2021-04-04,LA Angels,5.67,5.67,5.00,5.67,--,4.90
130,2021-04-04,Miami,5.33,5.33,12.00,5.33,--,4.23
131,2021-04-04,Seattle,5.00,5.00,4.00,5.00,--,4.23
132,2021-04-04,Tampa Bay,4.67,4.67,7.00,--,4.67,4.60
133,2021-04-04,SF Giants,4.33,4.33,0.00,--,4.33,4.98
134,2021-04-04,Chi Cubs,4.00,4.00,5.00,4.00,--,4.29
135,2021-04-04,Detroit,4.00,4.00,5.00,4.00,--,4.29
136,2021-04-04,Philadelphia,3.50,3.50,4.00,3.50,--,5.10
137,2021-04-04,Baltimore,3.50,3.50,4.00,--,3.50,4.57
138,2021-04-04,NY Yankees,3.50,3.50,5.00,3.50,--,5.39
139,2021-04-04,Minnesota,3.50,3.50,2.00,--,3.50,4.37
140,2021-04-04,Toronto,3.00,3.00,3.00,--,3.00,4.92
141,2021-04-04,Milwaukee,3.00,3.00,0.00,3.00,--,4.02
142,2021-04-04,Arizona,3.00,3.00,0.00,--,3.00,4.48
143,2021-04-04,Pittsburgh,3.00,3.00,1.00,--,3.00,3.65
