,Date,Team,2022,Last 3,Last 1,Home,Away,2021
0,2022-03-30,LA Dodgers,3.45,5.00,4.00,3.31,3.59,3.58
1,2022-03-30,SF Giants,3.66,3.00,2.00,3.81,3.52,4.95
2,2022-03-30,Milwaukee,3.83,3.67,5.00,4.22,3.43,4.37
3,2022-03-30,Atlanta,4.01,3.67,0.00,4.26,3.75,4.61
4,2022-03-30,Chi Sox,4.02,8.33,10.00,3.79,4.24,4.10
5,2022-03-30,Tampa Bay,4.08,8.67,6.00,3.29,4.87,3.88
6,2022-03-30,Toronto,4.09,3.00,4.00,4.37,3.81,5.21
7,2022-03-30,Houston,4.10,5.00,7.00,4.04,4.15,4.44
8,2022-03-30,NY Mets,4.12,4.67,5.00,3.51,4.74,5.13
9,2022-03-30,St. Louis,4.14,4.00,3.00,3.88,4.40,4.07
10,2022-03-30,NY Yankees,4.14,6.00,6.00,4.05,4.23,4.52
11,2022-03-30,Oakland,4.24,7.67,7.00,4.09,4.40,4.12
12,2022-03-30,Miami,4.33,3.33,4.00,3.88,4.78,4.97
13,2022-03-30,San Diego,4.37,5.33,11.00,4.05,4.69,4.24
14,2022-03-30,Cleveland,4.49,4.33,0.00,4.49,4.49,3.73
15,2022-03-30,Philadelphia,4.60,2.67,5.00,4.47,4.73,5.18
16,2022-03-30,Seattle,4.62,4.33,7.00,4.20,5.04,5.05
17,2022-03-30,Boston,4.66,7.67,5.00,4.99,4.34,5.85
18,2022-03-30,Detroit,4.67,5.00,2.00,4.25,5.09,5.48
19,2022-03-30,Cincinnati,4.69,6.67,3.00,5.10,4.28,4.02
20,2022-03-30,Kansas City,4.86,5.67,7.00,5.11,4.62,4.53
21,2022-03-30,Colorado,4.94,7.67,5.00,5.02,4.86,5.88
22,2022-03-30,LA Angels,4.96,3.33,3.00,4.93,5.00,5.35
23,2022-03-30,Texas,5.03,5.67,6.00,4.79,5.27,5.20
24,2022-03-30,Washington,5.06,5.33,7.00,4.90,5.22,5.02
25,2022-03-30,Pittsburgh,5.14,4.67,6.00,4.89,5.40,4.97
26,2022-03-30,Minnesota,5.15,4.67,3.00,5.05,5.25,3.58
27,2022-03-30,Chi Cubs,5.18,3.67,2.00,5.28,5.07,3.98
28,2022-03-30,Arizona,5.51,5.00,4.00,5.46,5.57,4.92
29,2022-03-30,Baltimore,5.90,9.33,12.00,6.26,5.54,4.90
30,2022-03-31,LA Dodgers,3.45,5.00,4.00,3.31,3.59,3.58
31,2022-03-31,SF Giants,3.66,3.00,2.00,3.81,3.52,4.95
32,2022-03-31,Milwaukee,3.83,3.67,5.00,4.22,3.43,4.37
33,2022-03-31,Atlanta,4.01,3.67,0.00,4.26,3.75,4.61
34,2022-03-31,Chi Sox,4.02,8.33,10.00,3.79,4.24,4.10
35,2022-03-31,Tampa Bay,4.08,8.67,6.00,3.29,4.87,3.88
36,2022-03-31,Toronto,4.09,3.00,4.00,4.37,3.81,5.21
37,2022-03-31,Houston,4.10,5.00,7.00,4.04,4.15,4.44
38,2022-03-31,NY Mets,4.12,4.67,5.00,3.51,4.74,5.13
39,2022-03-31,NY Yankees,4.14,6.00,6.00,4.05,4.23,4.52
40,2022-03-31,St. Louis,4.14,4.00,3.00,3.88,4.40,4.07
41,2022-03-31,Oakland,4.24,7.67,7.00,4.09,4.40,4.12
42,2022-03-31,Miami,4.33,3.33,4.00,3.88,4.78,4.97
43,2022-03-31,San Diego,4.37,5.33,11.00,4.05,4.69,4.24
44,2022-03-31,Cleveland,4.49,4.33,0.00,4.49,4.49,3.73
45,2022-03-31,Philadelphia,4.60,2.67,5.00,4.47,4.73,5.18
46,2022-03-31,Seattle,4.62,4.33,7.00,4.20,5.04,5.05
47,2022-03-31,Boston,4.66,7.67,5.00,4.99,4.34,5.85
48,2022-03-31,Detroit,4.67,5.00,2.00,4.25,5.09,5.48
49,2022-03-31,Cincinnati,4.69,6.67,3.00,5.10,4.28,4.02
50,2022-03-31,Kansas City,4.86,5.67,7.00,5.11,4.62,4.53
51,2022-03-31,Colorado,4.94,7.67,5.00,5.02,4.86,5.88
52,2022-03-31,LA Angels,4.96,3.33,3.00,4.93,5.00,5.35
53,2022-03-31,Texas,5.03,5.67,6.00,4.79,5.27,5.20
54,2022-03-31,Washington,5.06,5.33,7.00,4.90,5.22,5.02
55,2022-03-31,Pittsburgh,5.14,4.67,6.00,4.89,5.40,4.97
56,2022-03-31,Minnesota,5.15,4.67,3.00,5.05,5.25,3.58
57,2022-03-31,Chi Cubs,5.18,3.67,2.00,5.28,5.07,3.98
58,2022-03-31,Arizona,5.51,5.00,4.00,5.46,5.57,4.92
59,2022-03-31,Baltimore,5.90,9.33,12.00,6.26,5.54,4.90
60,2022-04-01,LA Dodgers,3.45,5.00,4.00,3.31,3.59,3.58
61,2022-04-01,SF Giants,3.66,3.00,2.00,3.81,3.52,4.95
62,2022-04-01,Milwaukee,3.83,3.67,5.00,4.22,3.43,4.37
