,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2010-03-30,NY Yankees,0.644,0.667,1.000,0.719,0.568,0.549
1,2010-03-30,LA Angels,0.597,0.333,0.000,0.616,0.577,0.608
2,2010-03-30,LA Dodgers,0.582,0.000,0.000,0.624,0.541,0.518
3,2010-03-30,Philadelphia,0.576,0.333,0.000,0.562,0.591,0.585
4,2010-03-30,Boston,0.576,0.000,0.000,0.683,0.470,0.584
5,2010-03-30,Colorado,0.560,0.333,0.000,0.615,0.506,0.457
6,2010-03-30,St. Louis,0.552,0.000,0.000,0.561,0.542,0.531
7,2010-03-30,SF Giants,0.543,0.667,1.000,0.642,0.444,0.444
8,2010-03-30,Miami,0.537,0.667,0.000,0.531,0.543,0.522
9,2010-03-30,Texas,0.537,0.333,0.000,0.593,0.482,0.485
10,2010-03-30,Atlanta,0.531,0.000,0.000,0.494,0.568,0.444
11,2010-03-30,Detroit,0.528,0.333,0.000,0.630,0.427,0.457
12,2010-03-30,Seattle,0.525,0.667,1.000,0.593,0.457,0.377
13,2010-03-30,Minnesota,0.524,0.000,0.000,0.590,0.458,0.540
14,2010-03-30,Tampa Bay,0.519,0.667,0.000,0.642,0.395,0.590
15,2010-03-30,Chi Cubs,0.516,0.333,0.000,0.575,0.457,0.592
16,2010-03-30,Milwaukee,0.494,1.000,1.000,0.494,0.494,0.548
17,2010-03-30,Chi Sox,0.488,0.667,0.000,0.531,0.444,0.539
18,2010-03-30,Cincinnati,0.482,0.667,1.000,0.494,0.469,0.457
19,2010-03-30,San Diego,0.463,0.333,0.000,0.519,0.407,0.389
20,2010-03-30,Oakland,0.463,0.000,0.000,0.494,0.432,0.466
21,2010-03-30,Toronto,0.463,0.000,0.000,0.543,0.383,0.531
22,2010-03-30,Houston,0.457,0.000,0.000,0.543,0.370,0.534
23,2010-03-30,NY Mets,0.432,1.000,1.000,0.506,0.358,0.549
24,2010-03-30,Arizona,0.432,0.667,1.000,0.444,0.420,0.506
25,2010-03-30,Cleveland,0.401,0.000,0.000,0.432,0.370,0.500
26,2010-03-30,Kansas City,0.401,0.000,0.000,0.407,0.395,0.463
27,2010-03-30,Baltimore,0.395,1.000,1.000,0.482,0.309,0.425
28,2010-03-30,Pittsburgh,0.385,0.333,0.000,0.494,0.275,0.414
29,2010-03-30,Washington,0.364,1.000,1.000,0.407,0.321,0.367
30,2010-03-31,NY Yankees,0.644,0.667,1.000,0.719,0.568,0.549
