,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2011-09-13,Philadelphia,0.653,0.333,0.000,0.690,0.616,0.597
1,2011-09-13,NY Yankees,0.610,0.667,1.000,0.630,0.589,0.585
2,2011-09-13,Boston,0.582,0.000,0.000,0.592,0.573,0.549
3,2011-09-13,Arizona,0.581,0.667,1.000,0.625,0.540,0.401
4,2011-09-13,Milwaukee,0.581,0.333,1.000,0.699,0.467,0.475
5,2011-09-13,Detroit,0.578,1.000,1.000,0.608,0.548,0.500
6,2011-09-13,Atlanta,0.568,0.000,0.000,0.603,0.533,0.554
7,2011-09-13,Texas,0.565,0.667,1.000,0.613,0.514,0.551
8,2011-09-13,Tampa Bay,0.562,1.000,1.000,0.560,0.563,0.587
9,2011-09-13,LA Angels,0.544,0.333,0.000,0.587,0.500,0.494
10,2011-09-13,St. Louis,0.537,0.667,0.000,0.547,0.528,0.531
11,2011-09-13,SF Giants,0.524,0.667,1.000,0.553,0.493,0.582
12,2011-09-13,Toronto,0.503,0.667,1.000,0.514,0.493,0.525
13,2011-09-13,Cleveland,0.500,0.667,1.000,0.542,0.458,0.426
14,2011-09-13,Chi Sox,0.500,0.333,0.000,0.452,0.548,0.543
15,2011-09-13,LA Dodgers,0.493,0.333,0.000,0.500,0.487,0.494
16,2011-09-13,NY Mets,0.483,0.000,0.000,0.431,0.533,0.488
17,2011-09-13,Cincinnati,0.483,0.000,0.000,0.514,0.453,0.552
18,2011-09-13,Colorado,0.473,0.667,1.000,0.514,0.431,0.512
19,2011-09-13,Washington,0.469,0.667,1.000,0.554,0.380,0.426
20,2011-09-13,Miami,0.459,1.000,1.000,0.387,0.535,0.494
21,2011-09-13,Pittsburgh,0.456,0.333,1.000,0.447,0.465,0.352
22,2011-09-13,Oakland,0.456,0.667,1.000,0.556,0.360,0.500
23,2011-09-13,Chi Cubs,0.442,1.000,1.000,0.467,0.417,0.463
24,2011-09-13,San Diego,0.426,0.333,0.000,0.417,0.434,0.556
25,2011-09-13,Kansas City,0.419,0.667,1.000,0.466,0.373,0.414
26,2011-09-13,Seattle,0.415,0.000,0.000,0.466,0.365,0.377
27,2011-09-13,Minnesota,0.404,0.000,0.000,0.417,0.392,0.570
28,2011-09-13,Baltimore,0.397,0.000,0.000,0.452,0.343,0.407
29,2011-09-13,Houston,0.340,0.667,1.000,0.375,0.307,0.469
30,2011-09-14,Philadelphia,0.648,0.000,0.000,0.690,0.608,0.597
31,2011-09-14,NY Yankees,0.612,1.000,1.000,0.630,0.595,0.585
32,2011-09-14,Boston,0.585,0.333,1.000,0.597,0.573,0.549
33,2011-09-14,Milwaukee,0.584,0.667,1.000,0.703,0.467,0.475
34,2011-09-14,Arizona,0.584,0.667,1.000,0.625,0.546,0.401
35,2011-09-14,Detroit,0.581,1.000,1.000,0.608,0.554,0.500
36,2011-09-14,Atlanta,0.571,0.333,1.000,0.608,0.533,0.554
37,2011-09-14,Texas,0.568,0.667,1.000,0.618,0.514,0.551
38,2011-09-14,Tampa Bay,0.558,0.667,0.000,0.560,0.556,0.587
39,2011-09-14,LA Angels,0.547,0.333,1.000,0.587,0.507,0.494
40,2011-09-14,St. Louis,0.541,0.667,1.000,0.547,0.534,0.531
41,2011-09-14,SF Giants,0.527,1.000,1.000,0.558,0.493,0.582
42,2011-09-14,Toronto,0.500,0.667,0.000,0.514,0.487,0.525
43,2011-09-14,Cleveland,0.497,0.333,0.000,0.542,0.452,0.426
44,2011-09-14,Chi Sox,0.497,0.000,0.000,0.446,0.548,0.543
45,2011-09-14,LA Dodgers,0.490,0.000,0.000,0.493,0.487,0.494
46,2011-09-14,Cincinnati,0.487,0.333,1.000,0.521,0.453,0.552
47,2011-09-14,NY Mets,0.480,0.000,0.000,0.425,0.533,0.488
48,2011-09-14,Washington,0.473,1.000,1.000,0.554,0.389,0.426
49,2011-09-14,Colorado,0.469,0.667,0.000,0.514,0.425,0.512
50,2011-09-14,Miami,0.456,0.667,0.000,0.387,0.528,0.494
51,2011-09-14,Oakland,0.453,0.333,0.000,0.548,0.360,0.500
52,2011-09-14,Pittsburgh,0.453,0.333,0.000,0.442,0.465,0.352
53,2011-09-14,Chi Cubs,0.439,0.667,0.000,0.467,0.411,0.463
54,2011-09-14,San Diego,0.423,0.333,0.000,0.417,0.429,0.556
55,2011-09-14,Kansas City,0.423,1.000,1.000,0.473,0.373,0.414
56,2011-09-14,Seattle,0.412,0.000,0.000,0.460,0.365,0.377
57,2011-09-14,Minnesota,0.401,0.000,0.000,0.417,0.387,0.570
58,2011-09-14,Baltimore,0.401,0.333,1.000,0.460,0.343,0.407
59,2011-09-14,Houston,0.345,0.667,1.000,0.384,0.307,0.469
60,2011-09-15,Philadelphia,0.651,0.333,1.000,0.690,0.613,0.597
61,2011-09-15,NY Yankees,0.608,0.667,0.000,0.630,0.587,0.585
62,2011-09-15,Detroit,0.584,1.000,1.000,0.608,0.560,0.500
63,2011-09-15,Boston,0.581,0.333,0.000,0.589,0.573,0.549
64,2011-09-15,Milwaukee,0.580,0.667,0.000,0.693,0.467,0.475
65,2011-09-15,Arizona,0.580,0.667,0.000,0.625,0.539,0.401
66,2011-09-15,Atlanta,0.573,0.667,1.000,0.613,0.533,0.554
67,2011-09-15,Texas,0.571,1.000,1.000,0.623,0.514,0.551
68,2011-09-15,Tampa Bay,0.554,0.333,0.000,0.560,0.548,0.587
69,2011-09-15,LA Angels,0.550,0.667,1.000,0.587,0.514,0.494
70,2011-09-15,St. Louis,0.544,0.667,1.000,0.547,0.541,0.531
71,2011-09-15,SF Giants,0.530,1.000,1.000,0.564,0.493,0.582
72,2011-09-15,Toronto,0.503,0.667,1.000,0.514,0.493,0.525
73,2011-09-15,Cleveland,0.493,0.333,0.000,0.542,0.446,0.426
74,2011-09-15,Chi Sox,0.493,0.000,0.000,0.440,0.548,0.543
75,2011-09-15,LA Dodgers,0.493,0.333,1.000,0.500,0.487,0.494
76,2011-09-15,Cincinnati,0.490,0.667,1.000,0.527,0.453,0.552
77,2011-09-15,NY Mets,0.477,0.000,0.000,0.419,0.533,0.488
78,2011-09-15,Washington,0.476,1.000,1.000,0.554,0.397,0.426
79,2011-09-15,Colorado,0.473,0.667,1.000,0.514,0.432,0.512
80,2011-09-15,Miami,0.453,0.333,0.000,0.387,0.521,0.494
81,2011-09-15,Oakland,0.450,0.333,0.000,0.541,0.360,0.500
82,2011-09-15,Pittsburgh,0.450,0.333,0.000,0.436,0.465,0.352
83,2011-09-15,Chi Cubs,0.436,0.333,0.000,0.467,0.405,0.463
84,2011-09-15,Kansas City,0.427,1.000,1.000,0.480,0.373,0.414
85,2011-09-15,San Diego,0.420,0.000,0.000,0.417,0.423,0.556
86,2011-09-15,Seattle,0.416,0.333,1.000,0.467,0.365,0.377
87,2011-09-15,Baltimore,0.405,0.667,1.000,0.467,0.343,0.407
88,2011-09-15,Minnesota,0.399,0.000,0.000,0.417,0.382,0.570
89,2011-09-15,Houston,0.342,0.667,0.000,0.378,0.307,0.469
90,2011-09-16,Philadelphia,0.655,1.000,1.000,0.699,0.613,0.597
91,2011-09-16,NY Yankees,0.608,0.667,0.000,0.630,0.587,0.585
92,2011-09-16,Arizona,0.580,0.667,0.000,0.625,0.539,0.401
93,2011-09-16,Milwaukee,0.580,0.667,0.000,0.693,0.467,0.475
94,2011-09-16,Detroit,0.580,0.667,0.000,0.608,0.553,0.500
95,2011-09-16,Boston,0.577,0.333,0.000,0.581,0.573,0.549
96,2011-09-16,Texas,0.573,1.000,1.000,0.628,0.514,0.551
97,2011-09-16,Atlanta,0.573,0.667,1.000,0.613,0.533,0.554
98,2011-09-16,Tampa Bay,0.557,0.333,1.000,0.560,0.554,0.587
99,2011-09-16,LA Angels,0.550,0.667,1.000,0.587,0.514,0.494
100,2011-09-16,St. Louis,0.544,0.667,1.000,0.547,0.541,0.531
101,2011-09-16,SF Giants,0.533,1.000,1.000,0.564,0.500,0.582
102,2011-09-16,Toronto,0.503,0.667,1.000,0.514,0.493,0.525
103,2011-09-16,Cincinnati,0.493,1.000,1.000,0.533,0.453,0.552
104,2011-09-16,LA Dodgers,0.490,0.333,0.000,0.493,0.487,0.494
105,2011-09-16,Chi Sox,0.490,0.000,0.000,0.440,0.541,0.543
106,2011-09-16,Cleveland,0.490,0.000,0.000,0.542,0.440,0.426
107,2011-09-16,Washington,0.480,1.000,1.000,0.554,0.405,0.426
108,2011-09-16,NY Mets,0.473,0.000,0.000,0.413,0.533,0.488
109,2011-09-16,Colorado,0.470,0.333,0.000,0.507,0.432,0.512
110,2011-09-16,Pittsburgh,0.453,0.333,1.000,0.436,0.472,0.352
111,2011-09-16,Oakland,0.453,0.333,1.000,0.547,0.360,0.500
112,2011-09-16,Miami,0.447,0.000,0.000,0.387,0.507,0.494
113,2011-09-16,Chi Cubs,0.433,0.000,0.000,0.467,0.400,0.463
114,2011-09-16,Kansas City,0.431,1.000,1.000,0.487,0.373,0.414
115,2011-09-16,San Diego,0.420,0.000,0.000,0.417,0.423,0.556
116,2011-09-16,Seattle,0.416,0.333,1.000,0.467,0.365,0.377
117,2011-09-16,Baltimore,0.405,0.667,1.000,0.467,0.343,0.407
118,2011-09-16,Minnesota,0.399,0.000,0.000,0.417,0.382,0.570
119,2011-09-16,Houston,0.342,0.667,0.000,0.378,0.307,0.469
