,index,Unnamed: 0,Date,Team,Current,Last 3,Last 1,Home,Away,Previous,Unnamed: 9,id_t
0,0,0,2020-06-30,Houston,0.650,0.333,0.000,0.714,0.584,0.629,,0
1,1,1,2020-06-30,LA Dodgers,0.647,0.333,0.000,0.714,0.578,0.559,,1
2,2,2,2020-06-30,NY Yankees,0.632,0.333,0.000,0.698,0.565,0.611,,2
3,3,3,2020-06-30,Minnesota,0.612,0.000,0.000,0.561,0.663,0.482,,3
4,4,4,2020-06-30,Oakland,0.595,0.333,0.000,0.650,0.542,0.595,,4
5,5,5,2020-06-30,Atlanta,0.593,0.333,0.000,0.607,0.578,0.548,,5
6,6,6,2020-06-30,Tampa Bay,0.589,0.667,0.000,0.602,0.577,0.556,,6
7,7,7,2020-06-30,Washington,0.587,0.667,1.000,0.607,0.567,0.506,,7
8,8,8,2020-06-30,Cleveland,0.574,0.000,0.000,0.605,0.543,0.552,,8
9,9,9,2020-06-30,St. Louis,0.550,0.000,0.000,0.600,0.500,0.543,,9
10,10,10,2020-06-30,Milwaukee,0.546,0.000,0.000,0.605,0.488,0.59,,10
11,11,11,2020-06-30,NY Mets,0.531,1.000,1.000,0.593,0.469,0.475,,11
12,12,12,2020-06-30,Arizona,0.525,1.000,1.000,0.543,0.506,0.506,,12
13,13,13,2020-06-30,Boston,0.519,0.333,1.000,0.481,0.554,0.676,,13
14,14,14,2020-06-30,Chi Cubs,0.519,0.667,0.000,0.630,0.407,0.579,,14
15,15,15,2020-06-30,Philadelphia,0.500,0.667,0.000,0.556,0.444,0.494,,15
16,16,16,2020-06-30,Texas,0.482,0.667,1.000,0.556,0.407,0.414,,16
17,17,17,2020-06-30,SF Giants,0.475,0.000,0.000,0.432,0.519,0.451,,17
18,18,18,2020-06-30,Cincinnati,0.463,0.667,1.000,0.506,0.422,0.414,,18
19,19,19,2020-06-30,Chi Sox,0.447,0.667,1.000,0.488,0.407,0.383,,19
20,20,20,2020-06-30,LA Angels,0.444,0.000,0.000,0.481,0.410,0.494,,20
21,21,21,2020-06-30,Colorado,0.438,1.000,1.000,0.531,0.346,0.551,,21
22,22,22,2020-06-30,San Diego,0.432,0.000,0.000,0.444,0.420,0.407,,22
23,23,23,2020-06-30,Pittsburgh,0.426,0.333,0.000,0.438,0.415,0.509,,23
24,24,24,2020-06-30,Seattle,0.420,0.667,1.000,0.432,0.407,0.549,,24
25,25,25,2020-06-30,Toronto,0.414,0.667,1.000,0.432,0.395,0.451,,25
26,26,26,2020-06-30,Kansas City,0.364,0.333,1.000,0.375,0.354,0.358,,26
27,27,27,2020-06-30,Miami,0.352,0.333,1.000,0.370,0.333,0.391,,27
28,28,28,2020-06-30,Baltimore,0.333,0.667,0.000,0.309,0.358,0.29,,28
29,29,29,2020-06-30,Detroit,0.292,0.333,0.000,0.272,0.313,0.395,,29
30,30,30,2020-07-01,Houston,0.650,0.333,0.000,0.714,0.584,0.629,,30
31,31,31,2020-07-01,LA Dodgers,0.647,0.333,0.000,0.714,0.578,0.559,,31
32,32,32,2020-07-01,NY Yankees,0.632,0.333,0.000,0.698,0.565,0.611,,32
33,33,33,2020-07-01,Minnesota,0.612,0.000,0.000,0.561,0.663,0.482,,33
34,34,34,2020-07-01,Oakland,0.595,0.333,0.000,0.650,0.542,0.595,,34
35,35,35,2020-07-01,Atlanta,0.593,0.333,0.000,0.607,0.578,0.548,,35
36,36,36,2020-07-01,Tampa Bay,0.589,0.667,0.000,0.602,0.577,0.556,,36
37,37,37,2020-07-01,Washington,0.587,0.667,1.000,0.607,0.567,0.506,,37
38,38,38,2020-07-01,Cleveland,0.574,0.000,0.000,0.605,0.543,0.552,,38
39,39,39,2020-07-01,St. Louis,0.550,0.000,0.000,0.600,0.500,0.543,,39
40,40,40,2020-07-01,Milwaukee,0.546,0.000,0.000,0.605,0.488,0.59,,40
41,41,41,2020-07-01,NY Mets,0.531,1.000,1.000,0.593,0.469,0.475,,41
42,42,42,2020-07-01,Arizona,0.525,1.000,1.000,0.543,0.506,0.506,,42
43,43,43,2020-07-01,Boston,0.519,0.333,1.000,0.481,0.554,0.676,,43
44,44,44,2020-07-01,Chi Cubs,0.519,0.667,0.000,0.630,0.407,0.579,,44
45,45,45,2020-07-01,Philadelphia,0.500,0.667,0.000,0.556,0.444,0.494,,45
46,46,46,2020-07-01,Texas,0.482,0.667,1.000,0.556,0.407,0.414,,46
47,47,47,2020-07-01,SF Giants,0.475,0.000,0.000,0.432,0.519,0.451,,47
48,48,48,2020-07-01,Cincinnati,0.463,0.667,1.000,0.506,0.422,0.414,,48
49,49,49,2020-07-01,Chi Sox,0.447,0.667,1.000,0.488,0.407,0.383,,49
50,50,50,2020-07-01,LA Angels,0.444,0.000,0.000,0.481,0.410,0.494,,50
51,51,51,2020-07-01,Colorado,0.438,1.000,1.000,0.531,0.346,0.551,,51
52,52,52,2020-07-01,San Diego,0.432,0.000,0.000,0.444,0.420,0.407,,52
