,id,game_date,season,home_team,away_team,home_score,away_score,home_is_winner,away_is_winner,game_type,away_Date,away_Current_win_pct,away_3_win_pct,away_1_win_pct,away_Home_win_pct,away_Away_win_pct,away_prev_win_pct,home_Date,home_Current_win_pct,home_3_win_pct,home_1_win_pct,home_Home_win_pct,home_Away_win_pct,home_prev_win_pct,home_r_Date,home_r_Team,home_r_Current,home_r_3,home_r_1,home_r_Home,home_r_Previous,away_r_Date,away_r_Team,away_r_Current,away_r_3,away_r_1,away_r_Home,away_r_Previous,home_opp_Date,home_opp_Team,home_opp_Current,home_opp_3,home_opp_1,home_opp_Home,home_opp_Previous,away_opp_Date,away_opp_Team,away_opp_Current,away_opp_3,away_opp_1,away_opp_Home,away_opp_Previous,lowvig_home,lowvig_away
0,441,2020-07-30,2020,New York Mets,Boston Red Sox,2,4,0,1,R,2020-07-30,0.333,0.333,1.0,0.2,1.0,0.519,2020-07-30,0.5,0.667,0.0,0.25,1.0,0.531,2020-07-30,New York Mets,4.17,6.67,5.0,2.5,4.88,2020-07-30,Boston Red Sox,5.33,4.33,6.0,5.2,5.56,2020-07-30,New York Mets,5.33,4.33,6.00,6.25,4.55,2020-07-30,Boston Red Sox,6.00,6.67,5.00,6.20,5.11,-145.0,135.0
1,444,2020-07-30,2020,Atlanta Braves,Tampa Bay Rays,2,1,1,0,R,2020-07-30,0.667,0.667,0.0,0.8,0.0,0.589,2020-07-30,0.5,0.333,1.0,1.0,0.4,0.593,2020-07-30,Atlanta Braves,5.5,4.67,7.0,7.0,5.22,2020-07-30,Tampa Bay Rays,6.17,7.67,4.0,6.6,4.71,2020-07-30,Atlanta Braves,4.67,7.67,4.00,4.00,4.6,2020-07-30,Tampa Bay Rays,4.33,4.67,7.00,3.80,4.02,-132.0,122.0
2,453,2020-07-31,2020,Atlanta Braves,New York Mets,11,10,1,0,R,2020-07-31,0.429,0.333,0.0,0.2,1.0,0.531,2020-07-31,0.571,0.667,1.0,1.0,0.4,0.593,2020-07-31,Atlanta Braves,5.0,3.67,2.0,4.5,5.22,2020-07-31,New York Mets,3.86,5.0,2.0,2.4,4.88,2020-07-31,Atlanta Braves,4.14,3.33,1.00,2.50,4.6,2020-07-31,New York Mets,5.14,4.33,4.00,5.80,4.55,-125.0,115.0
3,458,2020-07-31,2020,Chicago Cubs,Pittsburgh Pirates,6,3,1,0,R,2020-07-31,0.333,0.333,0.0,0.333,0.333,0.426,2020-07-31,0.667,0.667,0.0,0.667,0.667,0.519,2020-07-31,Chicago Cubs,6.33,7.67,7.0,5.0,5.02,2020-07-31,Pittsburgh Pirates,3.83,4.33,0.0,4.33,4.68,2020-07-31,Chicago Cubs,5.50,8.00,12.00,3.00,4.43,2020-07-31,Pittsburgh Pirates,5.00,5.00,3.00,5.00,5.62,-200.0,182.0
4,461,2020-07-31,2020,Arizona Diamondbacks,Los Angeles Dodgers,5,3,1,0,R,2020-07-31,0.714,1.0,1.0,0.5,1.0,0.647,2020-07-31,0.286,0.333,0.0,0.0,0.333,0.525,2020-07-31,Arizona Diamondbacks,2.86,3.67,3.0,3.0,5.02,2020-07-31,Los Angeles Dodgers,5.29,5.0,6.0,5.5,5.44,2020-07-31,Arizona Diamondbacks,5.00,4.67,6.00,6.00,4.59,2020-07-31,Los Angeles Dodgers,2.43,2.33,3.00,2.50,3.8,115.0,-125.0
5,466,2020-08-01,2020,Los Angeles Angels,Houston Astros,5,4,1,0,R,2020-08-01,0.571,0.333,1.0,0.5,1.0,0.65,2020-08-01,0.25,0.0,0.0,0.25,0.25,0.444,2020-08-01,Los Angeles Angels,4.88,6.0,6.0,7.0,4.75,2020-08-01,Houston Astros,6.0,4.33,9.0,5.5,5.51,2020-08-01,Los Angeles Angels,5.75,9.00,9.00,7.25,5.36,2020-08-01,Houston Astros,4.43,5.00,6.00,4.17,3.96,144.0,-156.0
6,467,2020-08-01,2020,New York Yankees,Boston Red Sox,5,2,1,0,R,2020-08-01,0.375,0.667,0.0,0.2,0.667,0.519,2020-08-01,0.833,1.0,1.0,1.0,0.8,0.632,2020-08-01,New York Yankees,5.17,7.33,5.0,5.0,5.77,2020-08-01,Boston Red Sox,4.63,3.67,1.0,5.2,5.56,2020-08-01,New York Yankees,3.67,3.33,1.00,1.00,4.49,2020-08-01,Boston Red Sox,5.38,4.00,5.00,6.20,5.11,-172.0,159.0
7,469,2020-08-01,2020,Atlanta Braves,New York Mets,7,1,1,0,R,2020-08-01,0.375,0.0,0.0,0.2,0.667,0.531,2020-08-01,0.625,1.0,1.0,1.0,0.4,0.593,2020-08-01,Atlanta Braves,5.75,6.67,11.0,6.67,5.22,2020-08-01,New York Mets,4.63,5.67,10.0,2.4,4.88,2020-08-01,Atlanta Braves,4.88,5.00,10.00,5.00,4.6,2020-08-01,New York Mets,5.88,7.00,11.00,5.80,4.55,-120.0,110.0
8,470,2020-08-01,2020,Baltimore Orioles,Tampa Bay Rays,5,4,1,0,R,2020-08-01,0.5,0.0,0.0,0.8,0.0,0.589,2020-08-01,0.5,0.333,1.0,0.333,0.667,0.333,2020-08-01,Baltimore Orioles,5.17,5.0,6.0,5.0,4.5,2020-08-01,Tampa Bay Rays,5.13,2.67,3.0,6.6,4.71,2020-08-01,Baltimore Orioles,6.50,6.67,3.00,6.67,6.06,2020-08-01,Tampa Bay Rays,4.25,5.00,6.00,3.80,4.02,192.0,-208.0
9,471,2020-08-01,2020,Arizona Diamondbacks,Los Angeles Dodgers,2,11,0,1,R,2020-08-01,0.625,0.667,0.0,0.5,0.75,0.647,2020-08-01,0.375,0.333,1.0,0.5,0.333,0.525,2020-08-01,Arizona Diamondbacks,3.13,4.0,5.0,4.0,5.02,2020-08-01,Los Angeles Dodgers,5.0,4.33,3.0,5.5,5.44,2020-08-01,Arizona Diamondbacks,4.75,5.33,3.00,4.50,4.59,2020-08-01,Los Angeles Dodgers,2.75,3.33,5.00,2.50,3.8,132.0,-143.0
10,472,2020-08-01,2020,Colorado Rockies,San Diego Padres,6,1,1,0,R,2020-08-01,0.75,0.667,1.0,0.75,0.75,0.432,2020-08-01,0.667,0.667,0.0,0.0,0.8,0.438,2020-08-01,Colorado Rockies,4.67,6.67,7.0,7.0,5.15,2020-08-01,San Diego Padres,6.5,8.67,8.0,5.25,4.21,2020-08-01,Colorado Rockies,2.83,4.00,8.00,8.00,5.91,2020-08-01,San Diego Padres,4.13,7.00,7.00,2.25,4.87,108.0,-118.0
11,473,2020-08-01,2020,Chicago Cubs,Pittsburgh Pirates,4,3,1,0,R,2020-08-01,0.286,0.333,0.0,0.333,0.25,0.426,2020-08-01,0.714,0.667,1.0,0.75,0.667,0.519,2020-08-01,Chicago Cubs,6.29,7.0,6.0,5.25,5.02,2020-08-01,Pittsburgh Pirates,3.71,3.67,3.0,4.33,4.68,2020-08-01,Chicago Cubs,5.14,6.67,3.00,3.00,4.43,2020-08-01,Pittsburgh Pirates,5.14,5.00,6.00,5.00,5.62,-152.0,139.0
12,474,2020-08-01,2020,Seattle Mariners,Oakland Athletics,2,3,0,1,R,2020-08-01,0.429,0.0,0.0,0.5,0.0,0.595,2020-08-01,0.5,1.0,1.0,1.0,0.429,0.42,2020-08-01,Seattle Mariners,5.13,7.67,5.0,5.0,4.68,2020-08-01,Oakland Athletics,3.43,2.33,3.0,3.5,5.19,2020-08-01,Seattle Mariners,6.75,5.00,3.00,3.00,5.51,2020-08-01,Oakland Athletics,4.14,6.00,5.00,4.00,4.2,137.0,-147.0
13,476,2020-08-01,2020,Detroit Tigers,Cincinnati Reds,Unknown,Unknown,Unknown,Unknown,R,2020-08-01,0.286,0.333,0.0,0.333,0.0,0.463,2020-08-01,0.625,0.667,1.0,0.6,0.667,0.292,2020-08-01,Detroit Tigers,4.38,5.0,7.0,5.0,3.61,2020-08-01,Cincinnati Reds,5.57,6.33,2.0,6.17,4.33,2020-08-01,Detroit Tigers,5.13,3.67,2.00,5.60,5.68,2020-08-01,Cincinnati Reds,5.71,7.33,7.00,5.50,4.39,157.0,-169.0
14,483,2020-08-02,2020,Baltimore Orioles,Tampa Bay Rays,5,1,1,0,R,2020-08-02,0.444,0.0,0.0,0.8,0.0,0.589,2020-08-02,0.571,0.667,1.0,0.5,0.667,0.333,2020-08-02,Baltimore Orioles,5.14,5.67,5.0,5.0,4.5,2020-08-02,Tampa Bay Rays,5.0,2.67,4.0,6.6,4.71,2020-08-02,Baltimore Orioles,6.14,5.00,4.00,6.00,6.06,2020-08-02,Tampa Bay Rays,4.33,4.33,5.00,3.80,4.02,166.0,-182.0
15,484,2020-08-02,2020,Atlanta Braves,New York Mets,4,0,1,0,R,2020-08-02,0.333,0.0,0.0,0.2,0.5,0.531,2020-08-02,0.667,1.0,1.0,1.0,0.4,0.593,2020-08-02,Atlanta Braves,5.89,6.67,7.0,6.75,5.22,2020-08-02,New York Mets,4.22,4.33,1.0,2.4,4.88,2020-08-02,Atlanta Braves,4.44,4.00,1.00,4.00,4.6,2020-08-02,New York Mets,6.00,7.33,7.00,5.80,4.55,-109.0,-101.0
16,487,2020-08-02,2020,Chicago Cubs,Pittsburgh Pirates,2,1,1,0,R,2020-08-02,0.25,0.0,0.0,0.333,0.2,0.426,2020-08-02,0.75,0.667,1.0,0.8,0.667,0.519,2020-08-02,Chicago Cubs,6.0,5.67,4.0,5.0,5.02,2020-08-02,Pittsburgh Pirates,3.63,2.0,3.0,4.33,4.68,2020-08-02,Chicago Cubs,4.88,6.00,3.00,3.00,4.43,2020-08-02,Pittsburgh Pirates,5.00,4.33,4.00,5.00,5.62,-196.0,179.0
17,488,2020-08-02,2020,Colorado Rockies,San Diego Padres,9,6,1,0,R,2020-08-02,0.667,0.667,0.0,0.75,0.6,0.432,2020-08-02,0.714,0.667,1.0,0.5,0.8,0.438,2020-08-02,Colorado Rockies,4.86,6.0,6.0,6.5,5.15,2020-08-02,San Diego Padres,5.89,7.0,1.0,5.25,4.21,2020-08-02,Colorado Rockies,2.57,3.33,1.00,4.50,5.91,2020-08-02,San Diego Padres,4.33,6.67,6.00,2.25,4.87,112.0,-122.0
18,490,2020-08-02,2020,Los Angeles Angels,Houston Astros,5,6,0,1,R,2020-08-02,0.5,0.333,0.0,0.5,0.5,0.65,2020-08-02,0.333,0.333,1.0,0.4,0.25,0.444,2020-08-02,Los Angeles Angels,4.89,5.33,5.0,6.6,4.75,2020-08-02,Houston Astros,5.75,5.0,4.0,5.5,5.51,2020-08-02,Los Angeles Angels,5.56,7.00,4.00,6.60,5.36,2020-08-02,Houston Astros,4.50,5.00,5.00,4.17,3.96,124.0,-133.0
19,491,2020-08-02,2020,Arizona Diamondbacks,Los Angeles Dodgers,0,3,0,1,R,2020-08-02,0.667,0.667,1.0,0.5,0.8,0.647,2020-08-02,0.333,0.333,0.0,0.333,0.333,0.525,2020-08-02,Arizona Diamondbacks,3.0,3.33,2.0,3.33,5.02,2020-08-02,Los Angeles Dodgers,5.67,6.67,11.0,5.5,5.44,2020-08-02,Arizona Diamondbacks,5.44,6.67,11.00,6.67,4.59,2020-08-02,Los Angeles Dodgers,2.67,3.33,2.00,2.50,3.8,168.0,-182.0
20,500,2020-08-03,2020,Atlanta Braves,New York Mets,2,7,0,1,R,2020-08-03,0.3,0.0,0.0,0.2,0.4,0.531,2020-08-03,0.7,1.0,1.0,1.0,0.4,0.593,2020-08-03,Atlanta Braves,5.7,7.33,4.0,6.2,5.22,2020-08-03,New York Mets,3.8,3.67,0.0,2.4,4.88,2020-08-03,Atlanta Braves,4.00,3.67,0.00,3.20,4.6,2020-08-03,New York Mets,5.80,7.33,4.00,5.80,4.55,108.0,-118.0
21,503,2020-08-03,2020,Chicago Cubs,Kansas City Royals,2,0,1,0,R,2020-08-03,0.3,0.0,0.0,0.0,0.429,0.364,2020-08-03,0.778,1.0,1.0,0.833,0.667,0.519,2020-08-03,Chicago Cubs,5.56,4.0,2.0,4.5,5.02,2020-08-03,Kansas City Royals,4.0,3.0,2.0,3.0,4.27,2020-08-03,Chicago Cubs,4.44,2.33,1.00,2.67,4.43,2020-08-03,Kansas City Royals,5.40,7.67,9.00,7.67,5.36,-147.0,137.0
22,504,2020-08-03,2020,Colorado Rockies,San Francisco Giants,7,6,1,0,R,2020-08-03,0.5,0.667,0.0,0.5,0.5,0.475,2020-08-03,0.75,0.667,1.0,0.667,0.8,0.438,2020-08-03,Colorado Rockies,5.38,7.33,9.0,7.33,5.15,2020-08-03,San Francisco Giants,4.8,7.0,5.0,6.33,4.19,2020-08-03,Colorado Rockies,3.00,5.00,6.00,5.00,5.91,2020-08-03,San Francisco Giants,5.90,4.67,9.00,6.17,4.77,-133.0,124.0
23,505,2020-08-03,2020,San Diego Padres,Los Angeles Dodgers,5,4,1,0,R,2020-08-03,0.7,0.667,1.0,0.5,0.833,0.647,2020-08-03,0.6,0.333,0.0,0.75,0.5,0.432,2020-08-03,San Diego Padres,5.9,5.0,6.0,5.25,4.21,2020-08-03,Los Angeles Dodgers,5.4,5.67,3.0,5.5,5.44,2020-08-03,San Diego Padres,4.80,7.33,9.00,2.25,4.87,2020-08-03,Los Angeles Dodgers,2.40,2.33,0.00,2.50,3.8,124.0,-133.0
