game_id,home_team,away_team,commence_time,lowvig,betonlineag,unibet,draftkings,pointsbetus,gtbets,mybookieag,bovada,fanduel,betfair,intertops,williamhill_us,betrivers,betmgm,caesars,sugarhouse,foxbet,barstool,twinspires,betus,wynnbet,circasports,superbook,unibet_us,id,game_date,season,home_score,away_score,home_is_winner,away_is_winner,game_type
d18bceb2663d46029f10157b97e706b4,Washington Nationals,New York Yankees,2020-07-23T23:08:00Z,"[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]",,,,,,,,,,,,,,,9056,2020-07-23 00:00:00.000000,2020,1,4,0,1,R
761f244afb0826308e05516d7ee62028,Los Angeles Dodgers,San Francisco Giants,2020-07-24T02:08:00Z,"[-190.0, -190.0]","[-190.0, -190.0]","[-190.0, -190.0]","[-190.0, -190.0]",,,,"[-190.0, -190.0]","[-190.0, -190.0]","[-190.0, -190.0]",,,,,,,,,,,,,,,9057,2020-07-23 00:00:00.000000,2020,8,1,1,0,R
d18bceb2663d46029f10157b97e706b4,Washington Nationals,New York Yankees,2020-07-23T23:08:00Z,"[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]",,,,,,,,,,,,,,,9056,2020-07-23 00:00:00.000000,2020,1,4,0,1,R
761f244afb0826308e05516d7ee62028,Los Angeles Dodgers,San Francisco Giants,2020-07-24T02:08:00Z,"[-24.0, -24.0]","[-24.0, -24.0]","[-24.0, -24.0]","[-24.0, -24.0]","[-24.0, -24.0]","[-24.0, -24.0]","[-24.0, -24.0]","[-24.0, -24.0]",,,,,,,,,,,,,,,,,9057,2020-07-23 00:00:00.000000,2020,8,1,1,0,R
5362faebd839aba16645925fd2877f16,New York Mets,Atlanta Braves,2020-07-24T20:10:00Z,"[-8.5, -8.5]","[-8.5, -8.5]","[-8.5, -8.5]","[-8.5, -8.5]",,,,,,,,,,,,,,,,,,,,,9058,2020-07-24 00:00:00.000000,2020,1,0,1,0,R
ab83aa5a5a728ed73800df3d8017c2c6,Cincinnati Reds,Detroit Tigers,2020-07-24T22:10:00Z,"[-13.5, -13.5]","[-13.5, -13.5]","[-13.5, -13.5]","[-13.5, -13.5]",,,,,,,,,,,,,,,,,,,,,9059,2020-07-24 00:00:00.000000,2020,7,1,1,0,R
bdb8bc00b3f5252820765a8d3095e41c,Tampa Bay Rays,Toronto Blue Jays,2020-07-24T22:40:00Z,"[-11.0, -11.0]","[-11.0, -11.0]","[-11.0, -11.0]","[-11.0, -11.0]",,,,,,,,,,,,,,,,,,,,,9060,2020-07-24 00:00:00.000000,2020,4,6,0,1,R
36b3a2628aa7e0b1dea537fc0c1a5fc1,Philadelphia Phillies,Miami Marlins,2020-07-24T23:05:00Z,"[-15.0, -15.0]","[-15.0, -15.0]","[-15.0, -15.0]","[-15.0, -15.0]",,,,,,,,,,,,,,,,,,,,,9061,2020-07-24 00:00:00.000000,2020,2,5,0,1,R
1281d17b74b86bb3b3d180c78ff5fc75,Cleveland Indians,Kansas City Royals,2020-07-24T23:10:00Z,"[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]","[-9.0, -9.0]",,,,,,,,,,,,,,,,,,,,,9062,2020-07-24 00:00:00.000000,2020,2,0,1,0,R
bc7076c47f686c1d96b9724e351183b9,Chicago Cubs,Milwaukee Brewers,2020-07-24T23:10:00Z,"[-107.0, -107.0]","[-107.0, -107.0]","[-107.0, -107.0]","[-107.0, -107.0]",,,,,,,,,,,,,,,,,,,,,9063,2020-07-24 00:00:00.000000,2020,3,0,1,0,R
