,id,game_date,season,home_team,away_team,home_score,away_score,home_is_winner,away_is_winner,game_type,away_Date,away_Current_win_pct,away_3_win_pct,away_1_win_pct,away_Home_win_pct,away_Away_win_pct,away_prev_win_pct,home_Date,home_Current_win_pct,home_3_win_pct,home_1_win_pct,home_Home_win_pct,home_Away_win_pct,home_prev_win_pct,home_r_Date,home_r_Team,home_r_Current,home_r_3,home_r_1,home_r_Home,home_r_Previous,away_r_Date,away_r_Team,away_r_Current,away_r_3,away_r_1,away_r_Home,away_r_Previous,home_opp_Date,home_opp_Team,home_opp_Current,home_opp_3,home_opp_1,home_opp_Home,home_opp_Previous,away_opp_Date,away_opp_Team,away_opp_Current,away_opp_3,away_opp_1,away_opp_Home,away_opp_Previous,lowvig_home,lowvig_away
261,441,2020-07-30,2020,New York Mets,Boston Red Sox,2,4,0,1,R,2020-07-30,0.0,0.333,1.0,0.2,1.0,0.519,2020-07-30,0.3576017130620984,0.667,0.0,0.25,1.0,0.531,2020-07-30,New York Mets,0.34130434782608693,6.67,5.0,2.5,4.88,2020-07-30,Boston Red Sox,0.5934782608695652,4.33,6.0,5.2,5.56,2020-07-30,New York Mets,0.6013628620102215,4.33,6.0,6.25,4.55,2020-07-30,Boston Red Sox,0.7155025553662692,6.67,5.0,6.2,5.11,-145.0,135.0
264,444,2020-07-30,2020,Atlanta Braves,Tampa Bay Rays,2,1,1,0,R,2020-07-30,0.715203426124197,0.667,0.0,0.8,0.0,0.589,2020-07-30,0.3576017130620984,0.333,1.0,1.0,0.4,0.593,2020-07-30,Atlanta Braves,0.6304347826086957,4.67,7.0,7.0,5.22,2020-07-30,Tampa Bay Rays,0.7760869565217392,7.67,4.0,6.6,4.71,2020-07-30,Atlanta Braves,0.4889267461669506,7.67,4.0,4.0,4.6,2020-07-30,Tampa Bay Rays,0.4310051107325384,4.67,7.0,3.8,4.02,-132.0,122.0
275,453,2020-07-31,2020,Atlanta Braves,New York Mets,11,10,1,0,R,2020-07-31,0.2782101167315175,0.333,0.0,0.2,1.0,0.531,2020-07-31,0.5544747081712061,0.667,1.0,1.0,0.4,0.593,2020-07-31,Atlanta Braves,0.6434316353887399,3.67,2.0,4.5,5.22,2020-07-31,New York Mets,0.3378016085790884,5.0,2.0,2.4,4.88,2020-07-31,Atlanta Braves,0.4262295081967213,3.33,1.0,2.5,4.6,2020-07-31,New York Mets,0.6083788706739526,4.33,4.0,5.8,4.55,-125.0,115.0
280,458,2020-07-31,2020,Chicago Cubs,Pittsburgh Pirates,6,3,1,0,R,2020-07-31,0.09143968871595338,0.333,0.0,0.333,0.333,0.426,2020-07-31,0.7412451361867706,0.667,0.0,0.667,0.667,0.519,2020-07-31,Chicago Cubs,1.0,7.67,7.0,5.0,5.02,2020-07-31,Pittsburgh Pirates,0.3297587131367292,4.33,0.0,4.33,4.68,2020-07-31,Chicago Cubs,0.6739526411657559,8.0,12.0,3.0,4.43,2020-07-31,Pittsburgh Pirates,0.5828779599271403,5.0,3.0,5.0,5.62,-200.0,182.0
283,461,2020-07-31,2020,Arizona Diamondbacks,Los Angeles Dodgers,5,3,1,0,R,2020-07-31,0.8326848249027237,1.0,1.0,0.5,1.0,0.647,2020-07-31,0.0,0.333,0.0,0.0,0.333,0.525,2020-07-31,Arizona Diamondbacks,0.06970509383378011,3.67,3.0,3.0,5.02,2020-07-31,Los Angeles Dodgers,0.7211796246648794,5.0,6.0,5.5,5.44,2020-07-31,Arizona Diamondbacks,0.5828779599271403,4.67,6.0,6.0,4.59,2020-07-31,Los Angeles Dodgers,0.11475409836065575,2.33,3.0,2.5,3.8,115.0,-125.0
288,466,2020-08-01,2020,Los Angeles Angels,Houston Astros,5,4,1,0,R,2020-08-01,0.5506003430531732,0.333,1.0,0.5,1.0,0.65,2020-08-01,0.0,0.0,0.0,0.25,0.25,0.444,2020-08-01,Los Angeles Angels,0.595,6.0,6.0,7.0,4.75,2020-08-01,Houston Astros,0.875,4.33,9.0,5.5,5.51,2020-08-01,Los Angeles Angels,0.7711670480549199,9.0,9.0,7.25,5.36,2020-08-01,Houston Astros,0.4691075514874141,5.0,6.0,4.17,3.96,144.0,-156.0
289,467,2020-08-01,2020,New York Yankees,Boston Red Sox,5,2,1,0,R,2020-08-01,0.21440823327615782,0.667,0.0,0.2,0.667,0.519,2020-08-01,1.0,1.0,1.0,1.0,0.8,0.632,2020-08-01,New York Yankees,0.6675,7.33,5.0,5.0,5.77,2020-08-01,Boston Red Sox,0.5325,3.67,1.0,5.2,5.56,2020-08-01,New York Yankees,0.2951945080091533,3.33,1.0,1.0,4.49,2020-08-01,Boston Red Sox,0.6864988558352403,4.0,5.0,6.2,5.11,-172.0,159.0
291,469,2020-08-01,2020,Atlanta Braves,New York Mets,7,1,1,0,R,2020-08-01,0.21440823327615782,0.0,0.0,0.2,0.667,0.531,2020-08-01,0.6432246998284734,1.0,1.0,1.0,0.4,0.593,2020-08-01,Atlanta Braves,0.8125,6.67,11.0,6.67,5.22,2020-08-01,New York Mets,0.5325,5.67,10.0,2.4,4.88,2020-08-01,Atlanta Braves,0.5720823798627002,5.0,10.0,5.0,4.6,2020-08-01,New York Mets,0.8009153318077803,7.0,11.0,5.8,4.55,-120.0,110.0
292,470,2020-08-01,2020,Baltimore Orioles,Tampa Bay Rays,5,4,1,0,R,2020-08-01,0.42881646655231564,0.0,0.0,0.8,0.0,0.589,2020-08-01,0.42881646655231564,0.333,1.0,0.333,0.667,0.333,2020-08-01,Baltimore Orioles,0.6675,5.0,6.0,5.0,4.5,2020-08-01,Tampa Bay Rays,0.6575,2.67,3.0,6.6,4.71,2020-08-01,Baltimore Orioles,0.9427917620137299,6.67,3.0,6.67,6.06,2020-08-01,Tampa Bay Rays,0.4279176201372998,5.0,6.0,3.8,4.02,192.0,-208.0
293,471,2020-08-01,2020,Arizona Diamondbacks,Los Angeles Dodgers,2,11,0,1,R,2020-08-01,0.6432246998284734,0.667,0.0,0.5,0.75,0.647,2020-08-01,0.21440823327615782,0.333,1.0,0.5,0.333,0.525,2020-08-01,Arizona Diamondbacks,0.15749999999999997,4.0,5.0,4.0,5.02,2020-08-01,Los Angeles Dodgers,0.625,4.33,3.0,5.5,5.44,2020-08-01,Arizona Diamondbacks,0.5423340961098398,5.33,3.0,4.5,4.59,2020-08-01,Los Angeles Dodgers,0.08466819221967965,3.33,5.0,2.5,3.8,132.0,-143.0
