,id,game_date,season,home_team,away_team,home_score,away_score,home_is_winner,away_is_winner,game_type,away_Date,home_Current_win_pct,home_prev_win_pct,Rolling_10D_win_x,Rolling_30D_win_x,away_Current_win_pct,away_prev_win_pct,Rolling_10D_win_y,Rolling_30D_win_y,home_r_Current,home_r_prev,Rolling_10D_r_home,Rolling_30D_r_home,away_r_Current,away_r_prev,Rolling_10D_r_away,Rolling_30D_r_away,home_opp_Current,home_opp_prev,Rolling_10D_opp_home,Rolling_30D_opp_home,away_opp_Current,away_opp_prev,Rolling_10D_opp_away,Rolling_30D_opp_away,lowvig_home,lowvig_away,lowvig_home_prob,lowvig_away_prob,lowvig_home_vf,lowvig_away_vf
763,790,2020-08-23,2020,Washington Nationals,Miami Marlins,9,3,1,0,R,2020-08-23,0.3369330453563715,0.824022346368715,0.4051433389544688,0.33185242418389016,0.5680345572354212,0.16759776536312845,0.7443086003372682,0.8677483742193033,0.482,0.438,0.6041000000000001,0.6042333333333333,0.63,0.574,0.5447,0.4690333333333333,0.482,0.333,0.4763,0.3800666666666667,0.417,0.587,0.4829,0.5566333333333334,-154.0,143.0,0.6062992125984252,0.411522633744856,0.5956830409729075,0.40431695902709236
764,791,2020-08-23,2020,Baltimore Orioles,Boston Red Sox,5,4,1,0,R,2020-08-23,0.4773218142548596,0.11452513966480456,0.6570404721753795,0.5776833429914365,0.12958963282937366,0.6340782122905029,0.15071669477234403,0.248342025626167,0.321,0.444,0.398,0.4021,0.5,0.55,0.6308999999999999,0.5226666666666666,0.586,0.432,0.6216,0.5613333333333334,0.44,0.463,0.4386,0.4997666666666667,113.0,-123.0,0.4694835680751174,0.5515695067264574,0.45980329491329713,0.5401967050867028
767,794,2020-08-23,2020,Pittsburgh Pirates,Milwaukee Brewers,5,4,1,0,R,2020-08-23,0.0,0.3743016759776536,0.0,0.0,0.38660907127429806,0.7094972067039107,0.5204468802698144,0.4355804519992273,0.615,0.519,0.5848,0.5797,0.556,0.65,0.5660000000000001,0.6411333333333334,0.407,0.364,0.38739999999999997,0.4100666666666667,0.345,0.42,0.36829999999999996,0.3733666666666667,154.0,-167.0,0.3937007874015748,0.6254681647940075,0.3862958997656183,0.6137041002343818
771,798,2020-08-23,2020,Los Angeles Dodgers,Colorado Rockies,11,3,1,0,R,2020-08-23,1.0,0.9916201117318436,1.0,0.8806258450840253,0.4773218142548596,0.40782122905027934,0.7388279932546374,0.8287296374991949,0.462,0.531,0.45009999999999994,0.3746,0.385,0.482,0.43129999999999996,0.4774666666666667,0.5,0.55,0.6333,0.6748666666666666,0.607,0.447,0.6227,0.5790333333333333,-217.0,200.0,0.6845425867507886,0.3333333333333333,0.6725206611570248,0.3274793388429752
772,799,2020-08-23,2020,Oakland Athletics,Los Angeles Angels,5,4,1,0,R,2020-08-23,0.9028077753779699,0.8463687150837987,0.9970489038785834,0.8517159229927243,0.12958963282937366,0.4245810055865922,0.22807757166947729,0.20661902002446725,0.321,0.519,0.4027,0.45116666666666666,0.679,0.595,0.4859,0.44183333333333336,0.593,0.593,0.566,0.4870333333333333,0.261,0.426,0.4915,0.5573333333333335,-125.0,115.0,0.5555555555555556,0.46511627906976744,0.5443037974683544,0.45569620253164556
775,802,2020-08-23,2020,Seattle Mariners,Texas Rangers,4,1,1,0,R,2020-08-23,0.18142548596112304,0.35754189944134074,0.1968802698145025,0.19412787328568662,0.2678185745140389,0.5307262569832402,0.49578414839797635,0.38284720880819,0.593,0.593,0.5596,0.6136666666666667,0.607,0.447,0.5592,0.5885,0.391,0.5,0.33130000000000004,0.3599333333333333,0.321,0.444,0.3127,0.30219999999999997,121.0,-132.0,0.45248868778280543,0.5689655172413793,0.44298480103872295,0.557015198961277
776,803,2020-08-23,2020,Atlanta Braves,Philadelphia Phillies,4,5,0,1,R,2020-08-23,0.7170626349892009,0.8407821229050279,0.7177487352445195,0.6678900263988152,0.2807775377969763,0.5810055865921787,0.4483558178752108,0.3081578777928015,0.345,0.42,0.3533,0.4015,0.417,0.587,0.4079,0.4439666666666667,0.63,0.574,0.5753,0.6143333333333333,0.643,0.612,0.6140000000000001,0.5597,-116.0,106.0,0.5370370370370371,0.4854368932038835,0.525232987515386,0.47476701248461406
778,805,2020-08-24,2020,Tampa Bay Rays,Toronto Blue Jays,4,6,0,1,R,2020-08-24,0.8231292517006804,0.8296089385474859,0.8253668763102727,0.6745578048288385,0.471655328798186,0.3407821229050279,0.508595387840671,0.4314345282130607,0.423,0.546,0.42519999999999997,0.4453666666666667,0.536,0.65,0.5769,0.5876333333333333,0.607,0.574,0.6303,0.5768000000000001,0.423,0.463,0.42010000000000003,0.39593333333333336,-208.0,190.0,0.6753246753246753,0.3448275862068966,0.6619841966637401,0.3380158033362599
779,806,2020-08-24,2020,Washington Nationals,Miami Marlins,8,11,0,1,R,2020-08-24,0.3356009070294785,0.824022346368715,0.3993710691823899,0.3565808057031407,0.471655328798186,0.16759776536312845,0.6932914046121593,0.8531172237541191,0.467,0.475,0.5945,0.5864666666666666,0.586,0.447,0.5612,0.48856666666666665,0.5,0.352,0.48949999999999994,0.3967333333333334,0.462,0.531,0.4765,0.5387000000000001,-116.0,106.0,0.5370370370370371,0.4854368932038835,0.525232987515386,0.47476701248461406
780,807,2020-08-24,2020,Detroit Tigers,Chicago Cubs,3,9,0,1,R,2020-08-24,0.29705215419501135,0.0,0.4511530398322851,0.6007128925953324,0.7664399092970522,0.6340782122905029,0.9368972746331237,1.0,0.64,0.632,0.5065999999999999,0.5602333333333334,0.5,0.352,0.3871,0.40213333333333334,0.467,0.475,0.47119999999999995,0.4721,0.448,0.525,0.5066999999999999,0.6046,128.0,-137.0,0.43859649122807015,0.5780590717299579,0.4314110965487112,0.5685889034512888
