,median,mean,range
0,-8.5,-8.405405405405405,245.0
1,-8.5,-8.486486486486486,251.0
2,-8.5,-8.45945945945946,255.0
3,-8.5,-8.45945945945946,255.0
4,-8.5,-8.45945945945946,255.0
5,-8.5,-8.45945945945946,255.0
6,-8.5,-8.45945945945946,255.0
7,-8.5,-9.45945945945946,507.0
8,-8.5,-8.297297297297296,255.0
9,-8.5,-11.135135135135135,535.0
10,-8.5,-8.297297297297296,255.0
11,-8.5,-11.135135135135135,535.0
12,-8.5,-8.297297297297296,255.0
13,-8.5,-11.891891891891891,535.0
14,-8.5,-8.297297297297296,255.0
15,-8.5,-11.891891891891891,535.0
16,-8.5,-8.297297297297296,255.0
17,-8.5,-11.891891891891891,535.0
18,-8.5,-8.27027027027027,260.0
19,-8.5,-11.243243243243244,535.0
20,-8.5,-8.27027027027027,265.0
21,-8.5,-12.162162162162161,598.0
22,-8.5,-8.243243243243244,260.0
23,-8.5,-13.486486486486486,548.0
24,-8.5,-8.378378378378379,246.0
25,-8.5,-8.864864864864865,384.0
26,-8.5,-8.675675675675675,336.0
27,-8.5,-9.054054054054054,388.0
28,-8.5,-9.27027027027027,422.0
29,-6.0,-8.256756756756756,246.0
30,-8.5,-8.91891891891892,375.0
31,-8.5,-8.432432432432432,262.0
32,-8.5,-8.432432432432432,262.0
33,-105.5,-27.16216216216216,245.0
34,-105.5,-27.16216216216216,245.0
35,-8.5,-8.675675675675675,332.0
36,-8.5,-8.675675675675675,332.0
37,-8.5,-9.756756756756756,507.0
38,-8.5,-9.756756756756756,507.0
39,-7.0,-8.283783783783784,259.0
40,-8.5,-8.297297297297296,248.0
41,-8.5,-8.297297297297296,248.0
42,-8.5,-8.243243243243244,260.0
43,-8.5,-14.405405405405405,553.0
44,-8.5,-8.324324324324325,245.0
45,-8.5,-8.864864864864865,384.0
46,-8.5,-8.702702702702704,334.0
47,-8.5,-9.054054054054054,388.0
48,-8.5,-9.297297297297296,423.0
