,home_team,away_team,home_is_winner,away_win_prob,home_win_prob
1481,Cincinnati Reds,St. Louis Cardinals,1,0.4670762300491333,0.5329237699508667
2841,Colorado Rockies,Milwaukee Brewers,0,0.5102243661880493,0.48977563381195066
3586,Atlanta Braves,Cincinnati Reds,0,0.42564175128936765,0.5743582487106323
6874,St. Louis Cardinals,Milwaukee Brewers,1,0.43584643602371215,0.5641535639762878
3103,Texas Rangers,Detroit Tigers,0,0.3814706921577454,0.6185293078422547
7370,Pittsburgh Pirates,St. Louis Cardinals,0,0.7455832809209824,0.25441671907901764
4944,Texas Rangers,Los Angeles Angels,0,0.5256959319114685,0.4743040680885315
324,Seattle Mariners,Oakland Athletics,1,0.6061416864395142,0.39385831356048584
1021,Atlanta Braves,Boston Red Sox,1,0.4318991661071777,0.5681008338928223
2350,Atlanta Braves,New York Mets,0,0.4187117338180542,0.5812882661819458
6870,Houston Astros,Texas Rangers,0,0.3074398159980774,0.6925601840019227
6882,Miami Marlins,Atlanta Braves,0,0.5751162469387054,0.42488375306129456
6144,San Francisco Giants,Cincinnati Reds,0,0.407158887386322,0.592841112613678
4084,Philadelphia Phillies,Chicago Cubs,1,0.36959420442581176,0.6304057955741882
3472,Miami Marlins,New York Mets,0,0.6382083058357239,0.36179169416427615
416,Kansas City Royals,Minnesota Twins,1,0.3551167488098145,0.6448832511901855
5912,Washington Nationals,Milwaukee Brewers,0,0.5831386804580688,0.4168613195419312
6311,Atlanta Braves,St. Louis Cardinals,0,0.2132889747619629,0.7867110252380372
4248,Minnesota Twins,Toronto Blue Jays,0,0.5694685935974121,0.4305314064025879
480,Chicago Cubs,Milwaukee Brewers,1,0.40916483402252196,0.590835165977478
6981,St. Louis Cardinals,Colorado Rockies,1,0.27004314661026,0.72995685338974
7522,Cincinnati Reds,Boston Red Sox,0,0.38719016313552856,0.6128098368644714
6925,Colorado Rockies,Arizona Diamondbacks,0,0.42534594535827636,0.5746540546417236
341,Seattle Mariners,Oakland Athletics,0,0.6095080554485321,0.3904919445514679
5509,Houston Astros,Texas Rangers,1,0.4460211396217346,0.5539788603782654
513,Chicago White Sox,St. Louis Cardinals,1,0.43856499195098875,0.5614350080490113
809,Arizona Diamondbacks,Los Angeles Dodgers,0,0.5990312814712524,0.40096871852874755
23,Los Angeles Dodgers,San Francisco Giants,1,0.14743945598602295,0.8525605440139771
7660,Seattle Mariners,Texas Rangers,1,0.41637892723083497,0.5836210727691651
4134,St. Louis Cardinals,San Diego Padres,1,0.49596067070961,0.50403932929039
4247,Cincinnati Reds,Washington Nationals,1,0.3726430654525757,0.6273569345474244
2774,Colorado Rockies,San Diego Padres,1,0.5908334672451019,0.40916653275489806
7748,Oakland Athletics,Los Angeles Angels,1,0.6461667835712432,0.3538332164287567
3591,Baltimore Orioles,Detroit Tigers,0,0.4123080253601074,0.5876919746398925
3371,Chicago Cubs,Cincinnati Reds,0,0.512186074256897,0.487813925743103
3905,Cincinnati Reds,Detroit Tigers,0,0.3754355549812317,0.6245644450187683
1208,Los Angeles Dodgers,Tampa Bay Rays,1,0.19555773735046386,0.8044422626495361
1074,San Diego Padres,St. Louis Cardinals,1,0.37412784099578855,0.6258721590042114
1440,Oakland Athletics,Houston Astros,0,0.49306784868240355,0.5069321513175964
