,id,game_date,season,home_team,away_team,home_score,away_score,home_is_winner,away_is_winner,game_type,commence_time_x,away_Date,away_Current_win_pct,away_3_win_pct,away_1_win_pct,away_Home_win_pct,away_Away_win_pct,away_prev_win_pct,home_Date,home_Current_win_pct,home_3_win_pct,home_1_win_pct,home_Home_win_pct,home_Away_win_pct,home_prev_win_pct,median_home,median_away,lowvig_home,lowvig_away
227,441,2020-07-30,2020,New York Mets,Boston Red Sox,2,4,0,1,R,2020-07-30T23:07:00Z,2020-07-30,0.333,0.333,1.000,0.200,1.000,0.519,2020-07-30,0.500,0.667,0.000,0.250,1.000,0.531,-149.0,135.0,-145.0,135.0
229,444,2020-07-30,2020,Atlanta Braves,Tampa Bay Rays,2,1,1,0,R,2020-07-30T23:10:00Z,2020-07-30,0.667,0.667,0.000,0.800,0.000,0.589,2020-07-30,0.500,0.333,1.000,1.000,0.400,0.593,-141.0,125.0,-132.0,122.0
237,453,2020-07-31,2020,Atlanta Braves,New York Mets,11,10,1,0,R,2020-07-31T23:10:00Z,2020-07-31,0.429,0.333,0.000,0.200,1.000,0.531,2020-07-31,0.571,0.667,1.000,1.000,0.400,0.593,-133.0,121.0,-125.0,115.0
240,458,2020-07-31,2020,Chicago Cubs,Pittsburgh Pirates,6,3,1,0,R,2020-08-01T00:15:00Z,2020-07-31,0.333,0.333,0.000,0.333,0.333,0.426,2020-07-31,0.667,0.667,0.000,0.667,0.667,0.519,-192.0,163.0,-200.0,182.0
242,461,2020-07-31,2020,Arizona Diamondbacks,Los Angeles Dodgers,5,3,1,0,R,2020-08-01T01:40:00Z,2020-07-31,0.714,1.000,1.000,0.500,1.000,0.647,2020-07-31,0.286,0.333,0.000,0.000,0.333,0.525,121.0,-134.0,115.0,-125.0
245,466,2020-08-01,2020,Los Angeles Angels,Houston Astros,5,4,1,0,R,2020-08-01T23:07:00Z,2020-08-01,0.571,0.333,1.000,0.500,1.000,0.65,2020-08-01,0.250,0.000,0.000,0.250,0.250,0.444,140.0,-156.0,144.0,-156.0
246,467,2020-08-01,2020,New York Yankees,Boston Red Sox,5,2,1,0,R,2020-08-01T23:07:00Z,2020-08-01,0.375,0.667,0.000,0.200,0.667,0.519,2020-08-01,0.833,1.000,1.000,1.000,0.800,0.632,-182.0,160.0,-172.0,159.0
247,469,2020-08-01,2020,Atlanta Braves,New York Mets,7,1,1,0,R,2020-08-01T23:10:00Z,2020-08-01,0.375,0.000,0.000,0.200,0.667,0.531,2020-08-01,0.625,1.000,1.000,1.000,0.400,0.593,-125.0,110.0,-120.0,110.0
248,470,2020-08-01,2020,Baltimore Orioles,Tampa Bay Rays,5,4,1,0,R,2020-08-01T23:35:00Z,2020-08-01,0.500,0.000,0.000,0.800,0.000,0.589,2020-08-01,0.500,0.333,1.000,0.333,0.667,0.333,190.0,-217.0,192.0,-208.0
249,471,2020-08-01,2020,Arizona Diamondbacks,Los Angeles Dodgers,2,11,0,1,R,2020-08-02T00:10:00Z,2020-08-01,0.625,0.667,0.000,0.500,0.750,0.647,2020-08-01,0.375,0.333,1.000,0.500,0.333,0.525,131.5,-145.0,132.0,-143.0
250,472,2020-08-01,2020,Colorado Rockies,San Diego Padres,6,1,1,0,R,2020-08-02T00:10:00Z,2020-08-01,0.750,0.667,1.000,0.750,0.750,0.432,2020-08-01,0.667,0.667,0.000,0.000,0.800,0.438,108.0,-120.0,108.0,-118.0
251,473,2020-08-01,2020,Chicago Cubs,Pittsburgh Pirates,4,3,1,0,R,2020-08-02T00:15:00Z,2020-08-01,0.286,0.333,0.000,0.333,0.250,0.426,2020-08-01,0.714,0.667,1.000,0.750,0.667,0.519,-160.0,141.5,-152.0,139.0
252,474,2020-08-01,2020,Seattle Mariners,Oakland Athletics,2,3,0,1,R,2020-08-02T01:10:00Z,2020-08-01,0.429,0.000,0.000,0.500,0.000,0.595,2020-08-01,0.500,1.000,1.000,1.000,0.429,0.42,135.0,-148.0,137.0,-147.0
253,476,2020-08-01,2020,Detroit Tigers,Cincinnati Reds,Unknown,Unknown,Unknown,Unknown,R,2020-08-01T17:10:00Z,2020-08-01,0.286,0.333,0.000,0.333,0.000,0.463,2020-08-01,0.625,0.667,1.000,0.600,0.667,0.292,157.0,-172.0,157.0,-169.0
259,483,2020-08-02,2020,Baltimore Orioles,Tampa Bay Rays,5,1,1,0,R,2020-08-02T17:05:00Z,2020-08-02,0.444,0.000,0.000,0.800,0.000,0.589,2020-08-02,0.571,0.667,1.000,0.500,0.667,0.333,166.0,-185.0,166.0,-182.0
260,484,2020-08-02,2020,Atlanta Braves,New York Mets,4,0,1,0,R,2020-08-02T17:10:00Z,2020-08-02,0.333,0.000,0.000,0.200,0.500,0.531,2020-08-02,0.667,1.000,1.000,1.000,0.400,0.593,-104.0,-105.0,-109.0,-101.0
261,487,2020-08-02,2020,Chicago Cubs,Pittsburgh Pirates,2,1,1,0,R,2020-08-02T18:20:00Z,2020-08-02,0.250,0.000,0.000,0.333,0.200,0.426,2020-08-02,0.750,0.667,1.000,0.800,0.667,0.519,-200.0,175.0,-196.0,179.0
262,488,2020-08-02,2020,Colorado Rockies,San Diego Padres,9,6,1,0,R,2020-08-02T19:10:00Z,2020-08-02,0.667,0.667,0.000,0.750,0.600,0.432,2020-08-02,0.714,0.667,1.000,0.500,0.800,0.438,113.0,-125.0,112.0,-122.0
263,490,2020-08-02,2020,Los Angeles Angels,Houston Astros,5,6,0,1,R,2020-08-02T20:10:00Z,2020-08-02,0.500,0.333,0.000,0.500,0.500,0.65,2020-08-02,0.333,0.333,1.000,0.400,0.250,0.444,115.0,-125.0,124.0,-133.0
264,491,2020-08-02,2020,Arizona Diamondbacks,Los Angeles Dodgers,0,3,0,1,R,2020-08-02T20:10:00Z,2020-08-02,0.667,0.667,1.000,0.500,0.800,0.647,2020-08-02,0.333,0.333,0.000,0.333,0.333,0.525,163.0,-182.0,168.0,-182.0
270,500,2020-08-03,2020,Atlanta Braves,New York Mets,2,7,0,1,R,2020-08-03T23:10:00Z,2020-08-03,0.300,0.000,0.000,0.200,0.400,0.531,2020-08-03,0.700,1.000,1.000,1.000,0.400,0.593,108.0,-120.0,108.0,-118.0
272,503,2020-08-03,2020,Chicago Cubs,Kansas City Royals,2,0,1,0,R,2020-08-04T00:15:00Z,2020-08-03,0.300,0.000,0.000,0.000,0.429,0.364,2020-08-03,0.778,1.000,1.000,0.833,0.667,0.519,-156.0,138.0,-147.0,137.0
273,504,2020-08-03,2020,Colorado Rockies,San Francisco Giants,7,6,1,0,R,2020-08-04T00:40:00Z,2020-08-03,0.500,0.667,0.000,0.500,0.500,0.475,2020-08-03,0.750,0.667,1.000,0.667,0.800,0.438,-139.0,124.0,-133.0,124.0
274,505,2020-08-03,2020,San Diego Padres,Los Angeles Dodgers,5,4,1,0,R,2020-08-04T01:10:00Z,2020-08-03,0.700,0.667,1.000,0.500,0.833,0.647,2020-08-03,0.600,0.333,0.000,0.750,0.500,0.432,122.0,-135.0,124.0,-133.0
275,506,2020-08-03,2020,Seattle Mariners,Oakland Athletics,1,11,0,1,R,2020-08-04T01:10:00Z,2020-08-03,0.556,0.667,1.000,0.500,0.667,0.595,2020-08-03,0.400,0.333,0.000,0.333,0.429,0.42,165.0,-185.0,166.0,-179.0
277,509,2020-08-04,2020,Tampa Bay Rays,Boston Red Sox,5,1,1,0,R,2020-08-04T22:40:00Z,2020-08-04,0.300,0.000,0.000,0.200,0.400,0.519,2020-08-04,0.400,0.000,0.000,0.800,0.000,0.589,-145.0,130.0,-139.0,129.0
278,510,2020-08-04,2020,Washington Nationals,New York Mets,5,3,1,0,R,2020-08-04T23:05:00Z,2020-08-04,0.364,0.333,1.000,0.200,0.500,0.531,2020-08-04,0.429,0.667,1.000,0.200,1.000,0.587,-146.0,133.0,-143.0,132.0
281,514,2020-08-04,2020,Chicago Cubs,Kansas City Royals,5,4,1,0,R,2020-08-05T00:15:00Z,2020-08-04,0.273,0.000,0.000,0.000,0.375,0.364,2020-08-04,0.800,1.000,1.000,0.857,0.667,0.519,-196.0,170.0,-189.0,173.0
284,517,2020-08-04,2020,San Diego Padres,Los Angeles Dodgers,2,5,0,1,R,2020-08-05T01:10:00Z,2020-08-04,0.636,0.667,0.000,0.500,0.714,0.647,2020-08-04,0.636,0.333,1.000,0.800,0.500,0.432,112.0,-122.0,112.0,-122.0
285,518,2020-08-04,2020,Oakland Athletics,Texas Rangers,5,1,1,0,R,2020-08-05T01:10:00Z,2020-08-04,0.375,0.333,1.000,0.400,0.333,0.482,2020-08-04,0.600,1.000,1.000,0.500,0.750,0.595,-145.0,129.0,-143.0,131.0
286,519,2020-08-04,2020,Seattle Mariners,Los Angeles Angels,3,5,0,1,R,2020-08-05T02:10:00Z,2020-08-04,0.300,0.333,0.000,0.333,0.250,0.444,2020-08-04,0.364,0.000,0.000,0.250,0.429,0.42,170.0,-192.0,173.0,-189.0
292,526,2020-08-05,2020,Washington Nationals,New York Mets,1,3,0,1,R,2020-08-05T22:05:00Z,2020-08-05,0.333,0.333,0.000,0.200,0.429,0.531,2020-08-05,0.500,1.000,1.000,0.333,1.000,0.587,-224.5,195.0,-213.0,196.0
293,527,2020-08-05,2020,Tampa Bay Rays,Boston Red Sox,0,5,0,1,R,2020-08-05T22:40:00Z,2020-08-05,0.273,0.000,0.000,0.200,0.333,0.519,2020-08-05,0.455,0.333,1.000,0.833,0.000,0.589,-146.0,130.5,-147.0,136.0
294,528,2020-08-05,2020,Pittsburgh Pirates,Minnesota Twins,2,5,0,1,R,2020-08-05T23:05:00Z,2020-08-05,0.818,1.000,1.000,0.875,0.667,0.612,2020-08-05,0.182,0.000,0.000,0.333,0.125,0.426,165.0,-185.0,167.0,-182.0
